# 青简基础词库，由 qingjian-dict-convert lexicon 生成。词	音节	词频
# 来源：通用规范汉字表（8105 字）；现代汉语常用词表（liuxilu 校对版）；THUOCL 领域词（MIT，清华大学自然语言处理实验室）；
# 读音：Unihan（Unicode License）+ LLM 标注多音字词；词频：青简自己的语料统计（中文维基 CC BY-SA 4.0、LCCC MIT）。
乃是	nai shi	670
乃木	nai mu	211
乃木坂	nai mu ban	1787
乃狄	nai di	893
乃至	nai zhi	1128
乃至于	nai zhi yu	103
久	jiu	57377
久久	jiu jiu	1437
久了	jiu le	14635
久仰	jiu yang	230
久保	jiu bao	1347
久别	jiu bie	51
久别重逢	jiu bie chong feng	176
久已	jiu yi	22
久拖不决	jiu tuo bu jue	3
久没	jiu mei	5549
久没见	jiu mei jian	5023
久留	jiu liu	278
久病成医	jiu bing cheng yi	52
久石让	jiu shi rang	85
久经沙场	jiu jing sha chang	26
久而久之	jiu er jiu zhi	210
久负盛名	jiu fu sheng ming	26
久远	jiu yuan	757
久违	jiu wei	740
么	ma	14060
么	me	281209
么	yao	14060
么么么哒	me me me da	435
么么哒	me me da	25031
么么啾	me me jiu	273
么么嗒	me me da	464
么办	me ban	186
么哒	me da	315
么啾	me jiu	13
么嗒	me da	12
么样	me yang	282
义	yi	15199
义不容辞	yi bu rong ci	116
义举	yi ju	60
义乌	yi wu	689
义乌市	yi wu shi	57
义兴	yi xing	209
义军	yi jun	436
义冢	yi zhong	33
义净	yi jing	78
义务	yi wu	2781
义务兵	yi wu bing	91
义务劳动	yi wu lao dong	86
义务工	yi wu gong	4
义务教育	yi wu jiao yu	683
义勇	yi yong	260
义勇军	yi yong jun	380
义卖	yi mai	176
义和	yi he	202
义和团	yi he tuan	322
义塾	yi shu	53
义士	yi shi	213
义大	yi da	5179
义女	yi nv	32
义子	yi zi	123
义学	yi xue	131
义官	yi guan	424
义山	yi shan	56
义工	yi gong	1055
义师	yi shi	56
义愤	yi fen	27
义愤填膺	yi fen tian ying	104
义成	yi cheng	83
义捐	yi juan	3
义旗	yi qi	7
义无反顾	yi wu fan gu	430
义正词严	yi zheng ci yan	5
义正辞严	yi zheng ci yan	4
义母	yi mu	149
义民	yi min	226
义气	yi qi	423
义演	yi yan	112
义父	yi fu	146
义理	yi li	182
义诊	yi zhen	75
义词	yi ci	42
义阳	yi yang	159
义项	yi xiang	16
义齿	yi chi	5
之	zhi	169385
之一	zhi yi	51238
之上	zhi shang	2823
之下	zhi xia	7264
之中	zhi zhong	6914
之乎者也	zhi hu zhe ye	16
之乱	zhi luan	1368
之争	zhi zheng	518
之仇	zhi chou	242
之介	zhi jie	533
之余	zhi yu	641
之兄	zhi xiong	289
之内	zhi nei	3075
之刃	zhi ren	289
之初	zhi chu	1190
之前	zhi qian	75852
之前我	zhi qian wo	2422
之前的	zhi qian de	6812
之剑	zhi jian	627
之力	zhi li	1765
之功	zhi gong	220
之助	zhi zhu	775
之势	zhi shi	264
之后	zhi hou	86258
之后就	zhi hou jiu	3518
之吻	zhi wen	265
之命	zhi ming	510
之围	zhi wei	209
之城	zhi cheng	1172
之墓	zhi mu	289
之声	zhi sheng	1540
之处	zhi chu	4091
之外	zhi wai	7666
之夜	zhi ye	1627
之女	zhi nv	2999
之妻	zhi qi	864
之姿	zhi zi	283
之嫌	zhi xian	239
之子	zhi zi	6945
之孙	zhi sun	1120
之弟	zhi di	686
之役	zhi yi	621
之徒	zhi tu	215
之恋	zhi lian	1095
之情	zhi qing	880
之意	zhi yi	1820
之战	zhi zhan	3450
之战中	zhi zhan zhong	513
之所以	zhi suo yi	1793
之故	zhi gu	329
之敌	zhi di	217
之旅	zhi lv	2538
之星	zhi xing	1858
之术	zhi shu	267
之极	zhi ji	149
之歌	zhi ge	1471
之母	zhi mu	711
之流	zhi liu	99
之濑	zhi lai	278
之父	zhi fu	1529
之物	zhi wu	487
之痒	zhi yang	240
之类	zhi lei	7293
之类的	zhi lei de	6277
之罪	zhi zui	335
之翼	zhi yi	275
之谜	zhi mi	742
之路	zhi lu	2746
之邀	zhi yao	292
之锋	zhi feng	287
之间	zhi jian	44799
之际	zhi ji	2432
之音	zhi yin	684
之首	zhi shou	505
之魂	zhi hun	216
之龄	zhi ling	247
乌	wu	14921
乌七八糟	wu qi ba zao	15
乌丸	wu wan	264
乌云	wu yun	974
乌亮	wu liang	5
乌什	wu shi	356
乌伊	wu yi	95
乌克	wu ke	283
乌克兰	wu ke lan	8291
乌兰	wu lan	502
乌兰夫	wu lan fu	147
乌兰察布市	wu lan cha bu shi	105
乌兰察布盟	wu lan cha bu meng	86
乌兰巴托	wu lan ba tuo	502
乌兹	wu zi	160
乌兹别	wu zi bie	1125
乌冬	wu dong	318
乌合之众	wu he zhi zhong	77
乌头	wu tou	528
乌姆	wu mu	258
乌孜别克族	wu zi bie ke zu	18
乌尔	wu er	2008
乌山	wu shan	245
乌帕	wu pa	28
乌帕齐	wu pa qi	1378
乌帕齐拉	wu pa qi la	1378
乌干	wu gan	4
乌干达	wu gan da	616
乌托邦	wu tuo bang	404
乌拉	wu la	1425
乌拉圭	wu la gui	1291
乌拉草	wu la cao	2
乌斯	wu si	3022
乌普	wu pu	15
乌普萨	wu pu sa	237
乌普萨拉	wu pu sa la	237
乌有	wu you	61
乌木	wu mu	122
乌林	wu lin	54
乌桕	wu jiu	34
乌梅	wu mei	25
乌油油	wu you you	19
乌海市	wu hai shi	68
乌溜溜	wu liu liu	14
乌烟瘴气	wu yan zhang qi	142
乌石	wu shi	106
乌程	wu cheng	153
乌纱帽	wu sha mao	12
乌维	wu wei	119
乌苏	wu su	464
乌苏市	wu su shi	63
乌贼	wu zei	317
乌达	wu da	221
乌迪	wu di	215
乌金	wu jin	70
乌镇	wu zhen	1086
乌青	wu qing	12
乌鱼	wu yu	44
乌鲁	wu lu	523
乌鲁木齐	wu lu mu qi	1406
乌鸡	wu ji	16
乌鸦	wu ya	1519
乌黑	wu hei	264
乌龙	wu long	902
乌龙茶	wu long cha	215
乌龟	wu gui	1832
乍	zha	1069
乍一	zha yi	658
乍得	zha de	261
乍暖还寒	zha nuan hai han	3
乍暖还寒	zha nuan huan han	30
乎	hu	1655
乏	fa	572
乏力	fa li	46
乏味	fa wei	375
乏术	fa shu	77
乐	le	24055
乐	yue	4590
乐不可支	le bu ke zhi	14
乐不思蜀	le bu si shu	162
乐业	le ye	59
乐东县	le dong xian	75
乐丝	le si	19
乐事	le shi	399
乐于	le yu	498
乐亭	le ting	117
乐从	le cong	51
乐华	yue hua	248
乐句	le ju	15
乐句	yue ju	126
乐呵	le he	755
乐呵呵	le he he	189
乐善好施	le shan hao shi	66
乐嘉	yue jia	268
乐器	yue qi	2701
乐团	yue tuan	7675
乐园	le yuan	2682
乐土	le tu	58
乐在其中	le zai qi zhong	283
乐坛	yue tan	1485
乐城	le cheng	80
乐天	le tian	1204
乐天派	le tian pai	165
乐天知命	le tian zhi ming	11
乐子	le zi	649
乐山	le shan	1507
乐山大佛	le shan da fo	75
乐山市	le shan shi	137
乐师	yue shi	143
乐府	yue fu	158
乐律	yue lv	12
乐得	le de	128
乐悠悠	le you you	31
乐意	le yi	3280
乐感	le gan	4
乐感	yue gan	38
乐手	le shou	52
乐手	yue shou	417
乐曲	yue qu	1306
乐极生悲	le ji sheng bei	108
乐橙	le cheng	2011
乐橙们	le cheng men	262
乐此不疲	le ci bu pi	166
乐池	yue chi	21
乐清	yue qing	348
乐清县	yue qing xian	67
乐滋滋	le zi zi	56
乐理	yue li	72
乐町	le ding	210
乐福	le fu	202
乐章	yue zhang	935
乐而忘返	le er wang fan	3
乐至	le zhi	58
乐融融	le rong rong	160
乐观	le guan	3345
乐观主义	le guan zhu yi	75
乐视	le shi	3057
乐视网	le shi wang	55
乐评	yue ping	675
乐谱	yue pu	456
乐趣	le qu	3467
乐迷	yue mi	341
乐郡	le jun	221
乐都县	le du xian	91
乐队	yue dui	7445
乐陶	le tao	50
乐陶陶	le tao tao	12
乐音	yue yin	37
乐风	yue feng	60
乒	ping	320
乒乓	ping pang	367
乒乓球	ping pang qiu	3664
乒赛	ping sai	4
乓	pang	83
乔	qiao	10610
乔丹	qiao dan	990
乔伊	qiao yi	694
乔传	qiao chuan	13
乔其纱	qiao qi sha	7
乔司	qiao si	77
乔夫	qiao fu	205
乔安	qiao an	153
乔尔	qiao er	642
乔巴	qiao ba	231
乔恩	qiao en	486
乔扮	qiao ban	1
乔木	qiao mu	608
乔治	qiao zhi	11034
乔瓦	qiao wa	18
乔瓦尼	qiao wa ni	360
乔科	qiao ke	456
乔纳	qiao na	279
乔纳森	qiao na sen	574
乔装	qiao zhuang	191
乔许	qiao xu	301
乔迁	qiao qian	73
乔迁之喜	qiao qian zhi xi	86
乖	guai	21598
乖乖	guai guai	8084
乖僻	guai pi	9
乖哦	guai o	747
乖巧	guai qiao	1922
乖张	guai zhang	35
乖戾	guai li	16
乖觉	guai jue	1
乖谬	guai miu	4
乘	cheng	4956
乘	sheng	248
乘人之危	cheng ren zhi wei	7
乘以	cheng yi	344
乘便	cheng bian	47
乘兴	cheng xing	8
乘凉	cheng liang	226
乘务	cheng wu	307
乘务员	cheng wu yuan	618
乘务长	cheng wu zhang	97
乘势	cheng shi	65
乘员	cheng yuan	501
乘坐	cheng zuo	2865
乘客	cheng ke	8432
乘搭	cheng da	475
乘方	cheng fang	6
乘机	cheng ji	704
乘法	cheng fa	449
乘积	cheng ji	256
乘胜	cheng sheng	136
乘胜追击	cheng sheng zhui ji	96
乘船	cheng chuan	431
乘虚	cheng xu	31
乘虚而入	cheng xu er ru	22
乘警	cheng jing	48
乘车	cheng che	3329
乘降	cheng jiang	1611
乘隙	cheng xi	10
乘风破浪	cheng feng po lang	310
乘龙快婿	cheng long kuai xu	5
乙	yi	5392
乙丑	yi chou	155
乙丑科	yi chou ke	634
乙卯	yi mao	115
乙卯科	yi mao ke	599
乙基	yi ji	1447
乙女	yi nv	252
乙方	yi fang	37
乙未	yi wei	265
乙未科	yi wei ke	628
乙炔	yi que	191
乙烯	yi xi	497
乙级	yi ji	1208
乙线	yi xian	363
乙组	yi zu	603
乙肝	yi gan	49
乙脑	yi nao	2
乙酉	yi you	207
乙酉科	yi you ke	397
乙酰	yi xian	324
乙酸	yi suan	685
乙醇	yi chun	574
乙醚	yi mi	167
乜	mie	123
乜	nie	6
乜斜	mie xie	4
乜斜	nie xie	32
九	jiu	31117
九世	jiu shi	527
九中	jiu zhong	134
九九归一	jiu jiu gui yi	46
九亿	jiu yi	226
九十	jiu shi	1551
九十七	jiu shi qi	72
九十三	jiu shi san	114
九十九	jiu shi jiu	442
九十二	jiu shi er	90
九十五	jiu shi wu	83
九十八	jiu shi ba	73
九十六	jiu shi liu	42
九十四	jiu shi si	49
九千	jiu qian	236
九华	jiu hua	81
九华山	jiu hua shan	101
九号	jiu hao	937
九名	jiu ming	541
九名举	jiu ming ju	520
九名举人	jiu ming ju ren	271
九堡	jiu bao	68
九天	jiu tian	771
九头鸟	jiu tou niao	45
九如	jiu ru	162
九宫格	jiu gong ge	786
九寨	jiu zhai	281
九寨沟	jiu zhai gou	1078
九尾	jiu wei	137
九尾狐	jiu wei hu	152
九届	jiu jie	341
九岁	jiu sui	272
九峰	jiu feng	63
九州	jiu zhou	3298
九巴	jiu ba	885
九师	jiu shi	203
九年	jiu nian	4476
九度	jiu du	86
九族	jiu zu	85
九月	jiu yue	5870
九月升	jiu yue sheng	346
九死一生	jiu si yi sheng	17
九段	jiu duan	584
九江	jiu jiang	1446
九江市	jiu jiang shi	170
九泉	jiu quan	13
九洲	jiu zhou	107
九溪	jiu xi	60
九点	jiu dian	4090
九点半	jiu dian ban	861
九牛一毛	jiu niu yi mao	51
九牛二虎之力	jiu niu er hu zhi li	29
九眼桥	jiu yan qiao	182
九级	jiu ji	120
九郎	jiu lang	230
九里	jiu li	154
九间	jiu jian	95
九阳	jiu yang	127
九集	jiu ji	37
九零	jiu ling	60
九零后	jiu ling hou	361
九霄	jiu xiao	57
九霄云外	jiu xiao yun wai	30
九鼎	jiu ding	43
九龙	jiu long	4864
九龙坡	jiu long po	233
九龙城	jiu long cheng	479
九龙城区	jiu long cheng qu	234
九龙湖	jiu long hu	68
乞	qi	1396
乞丐	qi gai	722
乞巧	qi qiao	19
乞怜	qi lian	3
乞援	qi yuan	4
乞求	qi qiu	189
乞讨	qi tao	385
乞降	qi xiang	14
乞食	qi shi	54
也	ye	1244775
也一样	ye yi yang	5295
也一直	ye yi zhi	2355
也不会	ye bu hui	8011
也不喜欢	ye bu xi huan	1841
也不好	ye bu hao	3674
也不想	ye bu xiang	3576
也不敢	ye bu gan	2638
也不是	ye bu shi	15371
也不用	ye bu yong	3293
也不知道	ye bu zhi dao	7334
也不能	ye bu neng	6638
也不行	ye bu xing	2503
也不要	ye bu yao	7523
也不错	ye bu cuo	8464
也买	ye mai	4323
也会	ye hui	29470
也会有	ye hui you	1374
也准备	ye zhun bei	2307
也别	ye bie	2960
也加油	ye jia you	2316
也去	ye qu	11613
也只是	ye zhi shi	2618
也只能	ye zhi neng	2513
也叫	ye jiao	3048
也可以	ye ke yi	30485
也可能	ye ke neng	4115
也吃	ye chi	4544
也喜欢	ye xi huan	17906
也喜欢你	ye xi huan ni	1920
也在	ye zai	29939
也好	ye hao	20682
也好想	ye hao xiang	3647
也好看	ye hao kan	4119
也对	ye dui	4594
也就	ye jiu	18075
也就是	ye jiu shi	6218
也就是说	ye jiu shi shuo	1259
也差不多	ye cha bu duo	2951
也希望	ye xi wang	3541
也很喜欢	ye hen xi huan	993
也很好	ye hen hao	2438
也得	ye de	7852
也快	ye kuai	6442
也快乐	ye kuai le	2196
也快了	ye kuai le	479
也想	ye xiang	54478
也想你	ye xiang ni	2665
也想去	ye xiang qu	2371
也想吃	ye xiang chi	2719
也想知道	ye xiang zhi dao	1395
也想要	ye xiang yao	2974
也挺	ye ting	6295
也挺好	ye ting hao	3997
也早点	ye zao dian	2061
也是	ye shi	289391
也是个	ye shi ge	2818
也是你	ye shi ni	2465
也是哦	ye shi o	3581
也是啊	ye shi a	6304
也是我	ye shi wo	7341
也是有	ye shi you	2163
也是这么	ye shi zhe me	4011
也是这样	ye shi zhe yang	4552
也是醉了	ye shi zui le	2872
也有	ye you	50019
也有点	ye you dian	2048
也来	ye lai	6067
也比	ye bi	2748
也没什么	ye mei shen me	2745
也没办法	ye mei ban fa	950
也没有	ye mei you	21248
也没用	ye mei yong	3017
也爱	ye ai	8336
也爱你	ye ai ni	2042
也看	ye kan	8401
也看到	ye kan dao	2287
也睡	ye shui	3225
也知道	ye zhi dao	3817
也祝你	ye zhu ni	2271
也算	ye suan	3443
也给	ye gei	3452
也罢	ye ba	863
也美	ye mei	2007
也能	ye neng	13382
也行	ye xing	6630
也要	ye yao	55036
也要去	ye yao qu	2340
也觉得	ye jue de	25074
也许	ye xu	15606
也许是	ye xu shi	2540
也说	ye shuo	4374
也超	ye chao	2617
也这么	ye zhe me	7735
也这样	ye zhe yang	3617
也门	ye men	712
习	xi	1564
习习	xi xi	69
习以为常	xi yi wei chang	98
习仲勋	xi zhong xun	124
习作	xi zuo	35
习俗	xi su	1608
习好	xi hao	8
习字	xi zi	20
习尚	xi shang	3
习得	xi de	334
习性	xi xing	4365
习惯	xi guan	12652
习惯了	xi guan le	3346
习惯于	xi guan yu	80
习惯性	xi guan xing	62
习惯成自然	xi guan cheng zi ran	51
习惯法	xi guan fa	63
习染	xi ran	9
习武	xi wu	151
习气	xi qi	53
习水	xi shui	50
习用	xi yong	8
习艺	xi yi	41
习见	xi jian	3
习近	xi jin	3
习近平	xi jin ping	2453
习题	xi ti	59
乡	xiang	22650
乡下	xiang xia	2241
乡下人	xiang xia ren	499
乡下佬	xiang xia lao	6
乡亲	xiang qin	262
乡人	xiang ren	361
乡份	xiang fen	2771
乡俗	xiang su	31
乡党	xiang dang	73
乡公	xiang gong	33
乡公所	xiang gong suo	309
乡土	xiang tu	601
乡土气息	xiang tu qi xi	127
乡巴佬儿	xiang ba lao er	39
乡思	xiang si	7
乡情	xiang qing	39
乡愁	xiang chou	204
乡改	xiang gai	184
乡政府	xiang zheng fu	80
乡村	xiang cun	4006
乡民	xiang min	487
乡约	xiang yue	34
乡级	xiang ji	754
乡绅	xiang shen	212
乡规民约	xiang gui min yue	1
乡试	xiang shi	1778
乡试举	xiang shi ju	1
乡试举人	xiang shi ju ren	3061
乡试第	xiang shi di	537
乡试第七	xiang shi di qi	419
乡试第三	xiang shi di san	691
乡试第九	xiang shi di jiu	85
乡试第二	xiang shi di er	683
乡试第五	xiang shi di wu	559
乡试第八	xiang shi di ba	314
乡试第六	xiang shi di liu	540
乡试第十	xiang shi di shi	793
乡试第四	xiang shi di si	626
乡谈	xiang tan	4
乡谊	xiang yi	6
乡贤	xiang xian	339
乡道	xiang dao	331
乡道云	xiang dao yun	1387
乡道彰	xiang dao zhang	1198
乡道投	xiang dao tou	485
乡邮	xiang you	12
乡邻	xiang lin	18
乡郊	xiang jiao	220
乡里	xiang li	649
乡野	xiang ye	71
乡镇	xiang zhen	1708
乡长	xiang chang	63
乡长	xiang zhang	509
乡间	xiang jian	297
乡音	xiang yin	120
书	shu	56243
书亭	shu ting	18
书令	shu ling	385
书侍	shu shi	86
书侍郎	shu shi lang	266
书信	shu xin	769
书写	shu xie	2300
书函	shu han	12
书刊	shu kan	216
书包	shu bao	1854
书卷	shu juan	69
书卷气	shu juan qi	26
书号	shu hao	102
书名	shu ming	997
书名号	shu ming hao	25
书吧	shu ba	464
书呆子	shu dai zi	129
书场	shu chang	20
书城	shu cheng	301
书局	shu ju	1074
书屋	shu wu	329
书展	shu zhan	318
书市	shu shi	42
书库	shu ku	161
书店	shu dian	5142
书归正传	shu gui zheng chuan	1
书归正传	shu gui zheng zhuan	13
书房	shu fang	1805
书报	shu bao	57
书摊儿	shu tan er	52
书斋	shu zhai	65
书本	shu ben	540
书札	shu zha	8
书架	shu jia	479
书柜	shu gui	276
书案	shu an	7
书桌	shu zhuo	354
书桓	shu huan	239
书橱	shu chu	23
书法	shu fa	3597
书生	shu sheng	352
书生气	shu sheng qi	28
书画	shu hua	895
书画展	shu hua zhan	50
书皮	shu pi	86
书目	shu mu	321
书社	shu she	202
书稿	shu gao	90
书签	shu qian	486
书简	shu jian	89
书箱	shu xiang	16
书籍	shu ji	4337
书脊	shu ji	16
书舍	shu she	545
书记	shu ji	30269
书记员	shu ji yuan	150
书证	shu zheng	11
书评	shu ping	383
书读	shu du	628
书迷	shu mi	123
书院	shu yuan	4197
书面	shu mian	1020
书面语	shu mian yu	101
书页	shu ye	55
书馆	shu guan	302
书香	shu xiang	195
书香门第	shu xiang men di	91
乩	ji	273
买	mai	316447
买一个	mai yi ge	3061
买不到	mai bu dao	304
买不起	mai bu qi	86
买东西	mai dong xi	3554
买个	mai ge	12064
买主	mai zhu	66
买了	mai le	47336
买了个	mai le ge	237
买什么	mai shen me	3446
买价	mai jia	4
买到	mai dao	8589
买办	mai ban	138
买单	mai dan	1573
买卖	mai mai	1545
买卖人	mai mai ren	36
买啊	mai a	2786
买好	mai hao	2978
买房	mai fang	2580
买断	mai duan	200
买方	mai fang	66
买方市场	mai fang shi chang	53
买来	mai lai	2833
买椟还珠	mai du huan zhu	10
买点	mai dian	3899
买的	mai de	43735
买票	mai piao	4613
买空卖空	mai kong mai kong	1
买菜	mai cai	2074
买衣服	mai yi fu	3156
买账	mai zhang	85
买路钱	mai lu qian	27
买车	mai che	2427
买过	mai guo	3277
买进	mai jin	50
买通	mai tong	51
买醉	mai zui	357
买鞋	mai xie	831
乱	luan	22641
乱七八糟	luan qi ba zao	2669
乱世	luan shi	490
乱伦	luan lun	114
乱作一团	luan zuo yi tuan	6
乱党	luan dang	14
乱入	luan ru	414
乱兵	luan bing	39
乱动	luan dong	185
乱叫	luan jiao	452
乱咬	luan yao	156
乱咬人	luan yao ren	340
乱哄哄	luan hong hong	28
乱套	luan tao	140
乱子	luan zi	42
乱序执行	luan xu zhi xing	59
乱弹琴	luan tan qin	13
乱成	luan cheng	794
乱搞	luan gao	238
乱摊子	luan tan zi	3
乱斗	luan dou	595
乱来	luan lai	456
乱真	luan zhen	39
乱码	luan ma	202
乱砍滥伐	luan kan lan fa	2
乱糟糟	luan zao zao	189
乱纷纷	luan fen fen	4
乱臣贼子	luan chen zei zi	21
乱舞	luan wu	225
乱蓬蓬	luan peng peng	2
乱讲	luan jiang	759
乱说	luan shuo	2164
乱跑	luan pao	940
乱麻	luan ma	45
乳	ru	1828
乳儿	ru er	4
乳制品	ru zhi pin	156
乳剂	ru ji	23
乳化	ru hua	24
乳名	ru ming	118
乳品	ru pin	46
乳头	ru tou	263
乳房	ru fang	500
乳杆菌	ru gan jun	169
乳母	ru mu	133
乳汁	ru zhi	65
乳清	ru qing	76
乳燕	ru yan	1
乳牙	ru ya	10
乳牛	ru niu	53
乳猪	ru zhu	51
乳癌	ru ai	219
乳白	ru bai	19
乳突	ru tu	83
乳糖	ru tang	54
乳罩	ru zhao	44
乳胶	ru jiao	53
乳胶漆	ru jiao qi	2
乳腺	ru xian	114
乳腺癌	ru xian ai	343
乳臭	ru xiu	1
乳臭未干	ru chou wei gan	1
乳臭未干	ru xiu wei gan	3
乳酪	ru lao	160
乳酸	ru suan	181
乳香	ru xiang	143
乳黄色	ru huang se	9
乳齿	ru chi	20
乸	na	12
乾	gan	13
乾	qian	253
乾元	qian yuan	262
乾坤	qian kun	568
乾隆	qian long	6834
乾隆帝	qian long di	789
了	le	5314932
了	liao	115477
了不得	liao bu de	417
了不起	liao bu qi	4048
了了	liao liao	17
了事	liao shi	73
了却	liao que	50
了如指掌	liao ru zhi zhang	28
了局	liao ju	18
了当	liao dang	50
了得	liao de	69
了断	liao duan	296
了无	liao wu	34
了然	liao ran	62
了结	liao jie	77
了解	liao jie	31302
了账	liao zhang	1
予	yu	5494
予以	yu yi	2192
争	zheng	4213
争上游	zheng shang you	2
争先	zheng xian	205
争先恐后	zheng xian kong hou	73
争光	zheng guang	263
争分夺秒	zheng fen duo miao	98
争取	zheng qu	10483
争名夺利	zheng ming duo li	4
争吵	zheng chao	933
争嘴	zheng zui	3
争夺	zheng duo	3190
争奇斗艳	zheng qi dou yan	16
争宠	zheng chong	353
争强	zheng qiang	6
争强好胜	zheng qiang hao sheng	37
争战	zheng zhan	62
争执	zheng zhi	1075
争抢	zheng qiang	89
争持	zheng chi	37
争斗	zheng dou	368
争权夺利	zheng quan duo li	28
争气	zheng qi	983
争相	zheng xiang	263
争端	zheng duan	512
争胜	zheng sheng	28
争脸	zheng lian	16
争艳	zheng yan	19
争议	zheng yi	7700
争论	zheng lun	1874
争购	zheng gou	2
争辩	zheng bian	423
争长论短	zheng chang lun duan	1
争雄	zheng xiong	13
争霸	zheng ba	615
争风吃醋	zheng feng chi cu	81
争鸣	zheng ming	20
事	shi	97167
事不关己	shi bu guan ji	54
事不宜迟	shi bu yi chi	22
事不过三	shi bu guo san	82
事与愿违	shi yu yuan wei	195
事业	shi ye	10993
事业单位	shi ye dan wei	1041
事业心	shi ye xin	101
事业有成	shi ye you cheng	248
事主	shi zhu	335
事了	shi le	4352
