# 青简领域词库：法律，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
国际集装箱安全公约	guo ji ji zhuang xiang an quan gong yue	5
图解刑法适用大全	tu jie xing fa shi yong da quan	4
圆审	yuan shen	7
土地二轮延包	tu di er lun yan bao	9
土地交易价格	tu di jiao yi jia ge	12
土地产权	tu di chan quan	16
土地产权制度	tu di chan quan zhi du	11
土地使用权出让合同	tu di shi yong quan chu rang he tong	14
土地使用权出让底价	tu di shi yong quan chu rang di jia	6
土地使用权初始登记	tu di shi yong quan chu shi deng ji	7
土地储备管理办法	tu di chu bei guan li ban fa	11
土地储备证	tu di chu bei zheng	3
土地共有使用权	tu di gong you shi yong quan	4
土地出让使用权	tu di chu rang shi yong quan	7
土地出让金	tu di chu rang jin	6
土地分等定级	tu di fen deng ding ji	9
土地初始登记	tu di chu shi deng ji	8
土地利用总体规划	tu di li yong zong ti gui hua	7
土地发展公司	tu di fa zhan gong si	13
土地发展权	tu di fa zhan quan	9
土地国有	tu di guo you	3
土地增值税暂行条例	tu di zeng zhi shui zan xing tiao li	11
土地复垦	tu di fu ken	4
土地定着物	tu di ding zhuo wu	5
土地审裁处法官	tu di shen cai chu fa guan	2
土地影子费用	tu di ying zi fei yong	3
土地房屋权证	tu di fang wu quan zheng	8
土地执法大全	tu di zhi fa da quan	2
土地承包合同	tu di cheng bao he tong	12
土地承包合同案例评析	tu di cheng bao he tong an li ping xi	3
土地承包法	tu di cheng bao fa	13
土地承包经营合同	tu di cheng bao jing ying he tong	8
土地承包经营权	tu di cheng bao jing ying quan	1
土地承包经营权纠纷	tu di cheng bao jing ying quan jiu fen	7
土地抵押权	tu di di ya quan	10
土地抵押权实现	tu di di ya quan shi xian	4
土地招拍挂制度	tu di zhao pai gua zhi du	10
土地招标拍卖挂牌	tu di zhao biao pai mai gua pai	10
土地按揭	tu di an jie	6
土地改革法公布施行	tu di gai ge fa gong bu shi xing	3
土地有偿使用合同	tu di you chang shi yong he tong	10
土地权属制度	tu di quan shu zhi du	5
土地权属变更登记	tu di quan shu bian geng deng ji	8
土地注册处	tu di zhu ce chu	14
土地注册处处长	tu di zhu ce chu chu zhang	4
土地生产潜力	tu di sheng chan qian li	7
土地登记	tu di deng ji	15
土地登记代理合同	tu di deng ji dai li he tong	4
土地登记制度	tu di deng ji zhi du	9
土地登记办法	tu di deng ji ban fa	10
土地登记规则	tu di deng ji gui ze	10
土地盐渍化	tu di yan zi hua	8
土地管理法	tu di guan li fa	14
土地管理法实施条例	tu di guan li fa shi shi tiao li	11
土地管理法配套规定	tu di guan li fa pei tao gui ding	2
土地荒漠化	tu di huang mo hua	1
土地证书印制管理办法	tu di zheng shu yin zhi guan li ban fa	3
土地调查条例	tu di tiao cha tiao li	9
土地转让过户	tu di zhuan rang guo hu	6
土木工程合同管理	tu mu gong cheng he tong guan li	5
圣母无染原罪节	sheng mu wu ran yuan zui jie	2
在刑满释放五年内又犯	zai xing man shi fang wu nian nei you fan	2
在合同履行中	zai he tong lv xing zhong	9
在职法律硕士	zai zhi fa lv shuo shi	13
在险价值	zai xian jia zhi	8
地产权属登记	di chan quan shu deng ji	11
地指国	di zhi guo	5
地方人民检察院	di fang ren min jian cha yuan	6
地方分权制	di fang fen quan zhi	7
地方分权制度	di fang fen quan zhi du	5
地方国家机构	di fang guo jia ji gou	8
地方志工作条例	di fang zhi gong zuo tiao li	1
地方性会计法规	di fang xing kuai ji fa gui	7
地方性法规	di fang xing fa gui	31
地方政府权力	di fang zheng fu quan li	2
地方法	di fang fa	16
地方法规	di fang fa gui	11
地方立法研究	di fang li fa yan jiu	7
地方自治制度	di fang zi zhi zhi du	17
地方自治试行条例	di fang zi zhi shi xing tiao li	2
地方行政机关	di fang xing zheng ji guan	18
地理标志产品保护规定	di li biao zhi chan pin bao hu gui ding	10
地表水环境质量标准	di biao shui huan jing zhi liang biao zhun	10
地质灾害防治管理条例	di zhi zai hai fang zhi guan li tiao li	4
地震行政执法规定	di zhen xing zheng zhi fa gui ding	3
垄断行业	long duan hang ye	3
垄断行为	long duan xing wei	12
埃尔默案	ai er mo an	2
城乡医疗救助	cheng xiang yi liao jiu zhu	13
城乡规划法	cheng xiang gui hua fa	12
城北派出所	cheng bei pai chu suo	11
城市住宅局	cheng shi zhu zhai ju	4
城市供水水质管理规定	cheng shi gong shui shui zhi guan li gui ding	7
城市公有房屋管理规定	cheng shi gong you fang wu guan li gui ding	6
城市动物园管理规定	cheng shi dong wu yuan guan li gui ding	5
城市危险房屋管理规定	cheng shi wei xian fang wu guan li gui ding	7
城市合作银行	cheng shi he zuo yin hang	10
城市商品房预售管理法	cheng shi shang pin fang yu shou guan li fa	2
城市基层权力重组	cheng shi ji ceng quan li chong zu	2
城市居民最低生活保障	cheng shi ju min zui di sheng huo bao zhang	15
城市建筑垃圾管理规定	cheng shi jian zhu la ji guan li gui ding	9
城市建设总局	cheng shi jian she zong ju	2
城市建设拆迁管理条例	cheng shi jian she chai qian guan li tiao li	5
城市建设档案管理规定	cheng shi jian she dang an guan li gui ding	7
城市建设维护税	cheng shi jian she wei hu shui	11
城市房地产税	cheng shi fang di chan shui	6
城市房地产管理办法	cheng shi fang di chan guan li ban fa	7
城市房地产管理法	cheng shi fang di chan guan li fa	1
城市房屋拆迁工作规程	cheng shi fang wu chai qian gong zuo gui cheng	6
城市房屋租赁管理办法	cheng shi fang wu zu lin guan li ban fa	10
城市房屋被拆迁人	cheng shi fang wu bei chai qian ren	2
城市民族工作条例	cheng shi min zu gong zuo tiao li	7
城市治理与中国发展	cheng shi zhi li yu zhong guo fa zhan	3
城市物价管理	cheng shi wu jia guan li	2
城市私房用地使用权	cheng shi si fang yong di shi yong quan	4
城市私有房屋管理条例	cheng shi si you fang wu guan li tiao li	10
城市规划法	cheng shi gui hua fa	9
城市规划管理与法规	cheng shi gui hua guan li yu fa gui	9
城市规划编制办法	cheng shi gui hua bian zhi ban fa	4
城市规划行政处罚	cheng shi gui hua xing zheng chu fa	5
城市道路管理条例	cheng shi dao lu guan li tiao li	9
城市黄线管理办法	cheng shi huang xian guan li ban fa	7
城建建材工会	cheng jian jian cai gong hui	3
城建监察	cheng jian jian cha	12
城建监察规定	cheng jian jian cha gui ding	5
城旦	cheng dan	8
城邦民主制	cheng bang min zhu zhi	7
城镇廉租住房管理办法	cheng zhen lian zu zhu fang guan li ban fa	10
基层人民法院院长	ji ceng ren min fa yuan yuan zhang	7
基层公安机关	ji ceng gong an ji guan	12
基层建设年	ji ceng jian she nian	7
基层执法疑难问题研究	ji ceng zhi fa yi nan wen ti yan jiu	2
基本住房保障法	ji ben zhu fang bao zhang fa	4
基本养老保险	ji ben yang lao bao xian	4
基本农田	ji ben nong tian	8
基督与受骗女子	ji du yu shou pian nv zi	2
基金会信息公布办法	ji jin hui xin xi gong bu ban fa	5
塔克西拉古城遗址	ta ke xi la gu cheng yi zhi	4
境内非居民	jing nei fei ju min	6
境外就业中介管理规定	jing wai jiu ye zhong jie guan li gui ding	7
增值税专用缴款书	zeng zhi shui zhuan yong jiao kuan shu	10
增值税发票	zeng zhi shui fa piao	15
增值税暂行条例	zeng zhi shui zan xing tiao li	6
增值税纳税人	zeng zhi shui na shui ren	11
增加农业投入	zeng jia nong ye tou ru	11
增收节支措施	zeng shou jie zhi cuo shi	8
壹刑	yi xing	6
处理恰当	chu li qia dang	11
复仇掠夺	fu chou lve duo	2
复保险合同	fu bao xian he tong	7
复制发行	fu zhi fa xing	1
复合氨基酸	fu he an ji suan	12
复员军人	fu yuan jun ren	9
复员费	fu yuan fei	2
复杂共犯	fu za gong fan	5
复议前置	fu yi qian zhi	10
复议参加人	fu yi can jia ren	8
复议范围	fu yi fan wei	10
复议被申请人	fu yi bei shen qing ren	7
夏凤英	xia feng ying	5
夏朝法律制度	xia chao fa lv zhi du	3
外专外语	wai zhuan wai yu	5
外事办	wai shi ban	18
外出经营许可证	wai chu jing ying xu ke zheng	5
外商投资产业指导目录	wai shang tou zi chan ye zhi dao mu lu	13
外商投资企业法律手册	wai shang tou zi qi ye fa lv shou ce	2
外商投资流通业	wai shang tou zi liu tong ye	2
外商独资保险公司	wai shang du zi bao xian gong si	9
外国专家局	wai guo zhuan jia ju	8
外国仲裁裁决公约	wai guo zhong cai cai jue gong yue	9
外国保险公司分公司	wai guo bao xian gong si fen gong si	9
外国在华领事裁判权	wai guo zai hua ling shi cai pan quan	6
外国法院说	wai guo fa yuan shuo	2
外国行政强制法律制度	wai guo xing zheng qiang zhi fa lv zhi du	3
外大陆架	wai da lu jia	2
外层空间武器	wai ceng kong jian wu qi	6
外层空间法	wai ceng kong jian fa	8
外币国债	wai bi guo zhai	5
外汇保证金开户	wai hui bao zheng jin kai hu	8
外观设计法律保护	wai guan she ji fa lv bao hu	5
外贸代理	wai mao dai li	12
外贸代理制度	wai mao dai li zhi du	5
外贸易经营者	wai mao yi jing ying zhe	13
外贸法律实务	wai mao fa lv shi wu	3
外资企业法实施细则	wai zi qi ye fa shi shi xi ze	9
外资保险公司	wai zi bao xian gong si	14
外资银行管理条例	wai zi yin hang guan li tiao li	12
外轮代理公司	wai lun dai li gong si	4
多元文化公民权	duo yuan wen hua gong min quan	2
多式联运经营人	duo shi lian yun jing ying ren	12
多数辩护	duo shu bian hu	4
多次课征制	duo ci ke zheng zhi	4
多种纤维协议	duo zhong xian wei xie yi	7
多管转膛炮迅雷铳	duo guan zhuan tang pao xun lei chong	3
多边国际公约	duo bian guo ji gong yue	1
大事纪	da shi ji	18
大副收据	da fu shou ju	9
大宇文法论坛	da yu wen fa lun tan	2
大宋提刑官断案宝典	da song ti xing guan duan an bao dian	2
大小非征税	da xiao fei zheng shui	5
大律师登记册	da lv shi deng ji ce	3
大户持仓报告制度	da hu chi cang bao gao zhi du	8
大拇指法则	da mu zhi fa ze	5
大日本帝国宪法	da ri ben di guo xian fa	27
大石音乐版权	da shi yin yue ban quan	2
大规模集成电路测试	da gui mo ji cheng dian lu ce shi	6
大贺茂	da he mao	2
大连市政府法制办	da lian shi zheng fu fa zhi ban	4
大陆架公约	da lu jia gong yue	8
大陆法	da lu fa	7
大陆法国家民法典研究	da lu fa guo jia min fa dian yan jiu	5
大陆法系	da lu fa xi	17
大陆法系刑法	da lu fa xi xing fa	2
大面额纸币	da mian e zhi bi	3
大额可转让定期存单	da e ke zhuan rang ding qi cun dan	8
大额疾病医疗保险	da e ji bing yi liao bao xian	2
天津市地方性法规汇编	tian jin shi di fang xing fa gui hui bian	2
天津市大港区人民法院	tian jin shi da gang qu ren min fa yuan	5
天津市就业促进条例	tian jin shi jiu ye cu jin tiao li	4
天津耀达律师事务所	tian jin yao da lv shi shi wu suo	4
太平洋盆地经济理事会	tai ping yang pen di jing ji li shi hui	7
太平洋经济合作理事会	tai ping yang jing ji he zuo li shi hui	9
夫妻住所	fu qi zhu suo	3
夫妻共同债务	fu qi gong tong zhai wu	1
夫妻共同债务认定	fu qi gong tong zhai wu ren ding	4
夫妻共同所有财产	fu qi gong tong suo you cai chan	5
夫妻共同财产分割	fu qi gong tong cai chan fen ge	9
夫妻分居	fu qi fen ju	1
夫妻约定财产制	fu qi yue ding cai chan zhi	8
夫妻约定财产制度	fu qi yue ding cai chan zhi du	3
夫妻财产约定公证	fu qi cai chan yue ding gong zheng	4
夫妻财产约定协议公证	fu qi cai chan yue ding xie yi gong zheng	5
失业下岗人员权益维护	shi ye xia gang ren yuan quan yi wei hu	3
失业保险法	shi ye bao xian fa	1
失业登记	shi ye deng ji	7
失信惩戒办法	shi xin cheng jie ban fa	4
失信成本	shi xin cheng ben	11
失去时效	shi qu shi xiao	9
失效专利	shi xiao zhuan li	10
失职行为	shi zhi xing wei	10
奉法者强则国强	feng fa zhe qiang ze guo qiang	6
奏定学堂章程	zou ding xue tang zhang cheng	7
契约型基金	qi yue xing ji jin	11
契约登记	qi yue deng ji	5
套期保值合约	tao qi bao zhi he yue	7
奢侈品之战	she chi pin zhi zhan	2
奥东律师事务所	ao dong lv shi shi wu suo	6
奥利弗温德尔霍姆斯	ao li fu wen de er huo mu si	2
奥地利普通民法典	ao di li pu tong min fa dian	4
奥地利民法典	ao di li min fa dian	8
奥本海国际法	ao ben hai guo ji fa	7
奥林匹克标志保护条例	ao lin pi ke biao zhi bao hu tiao li	11
奥狄思法则	ao di si fa ze	2
女娲神枪	nv wa shen qiang	5
女官制度	nv guan zhi du	1
女性意外险	nv xing yi wai xian	4
女性自我防卫	nv xing zi wo fang wei	3
女权主义法学	nv quan zhu yi fa xue	7
女职工劳动	nv zhi gong lao dong	12
女职工劳动保护	nv zhi gong lao dong bao hu	1
女职工劳动保护规定	nv zhi gong lao dong bao hu gui ding	11
奴隶制五刑	nu li zhi wu xing	7
奴隶制法	nu li zhi fa	1
奴隶宪法	nu li xian fa	4
奸党罪	jian dang zui	7
奸淫幼女罪	jian yin you nv zui	2
好猫论	hao mao lun	4
如东县国土资源局	ru dong xian guo tu zi yuan ju	6
如何保障消费者权益	ru he bao zhang xiao fei zhe quan yi	5
如何写民事诉状	ru he xie min shi su zhuang	2
如何购买二手房	ru he gou mai er shou fang	8
妇女儿童权益保护法	fu nv er tong quan yi bao hu fa	8
妇女就业	fu nv jiu ye	7
妇女权益	fu nv quan yi	22
妇女权益保障	fu nv quan yi bao zhang	14
妇女权益保障法	fu nv quan yi bao zhang fa	5
妇女权益法律保障研究	fu nv quan yi fa lv bao zhang yan jiu	3
妇女法研究	fu nv fa yan jiu	4
妖书案	yao shu an	5
妨害民事诉讼行为	fang hai min shi su song xing wei	8
妨害风化犯罪	fang hai feng hua fan zui	4
姐妹船	jie mei chuan	8
委付	wei fu	12
委任合同	wei ren he tong	7
委任性规则	wei ren xing gui ze	7
委任性规范	wei ren xing gui fan	6
委任统治权	wei ren tong zhi quan	1
委员制	wei yuan zhi	14
委员小组	wei yuan xiao zu	10
委托下单	wei tuo xia dan	13
委托不明	wei tuo bu ming	4
委托书收购	wei tuo shu shou gou	6
委托买卖契约	wei tuo mai mai qi yue	5
委托人民法院	wei tuo ren min fa yuan	12
委托代理人	wei tuo dai li ren	2
委托代理合同	wei tuo dai li he tong	12
委托作品	wei tuo zuo pin	5
委托关系	wei tuo guan xi	2
委托创作	wei tuo chuang zuo	25
委托创作作品	wei tuo chuang zuo zuo pin	6
委托加工合同	wei tuo jia gong he tong	10
委托合同	wei tuo he tong	4
委托开发	wei tuo kai fa	6
委托开发合同	wei tuo kai fa he tong	11
委托执行	wei tuo zhi xing	11
委托拆迁	wei tuo chai qian	11
委托拍卖合同	wei tuo pai mai he tong	11
委托招标	wei tuo zhao biao	11
委托授权	wei tuo shou quan	2
委托授权书	wei tuo shou quan shu	11
委托授权行为	wei tuo shou quan xing wei	6
委托物	wei tuo wu	1
委托监护	wei tuo jian hu	2
委托监护人	wei tuo jian hu ren	8
委托背书	wei tuo bei shu	4
委托调查	wei tuo diao cha	11
委托购买合同	wei tuo gou mai he tong	6
委托辩护	wei tuo bian hu	1
委托辩护人	wei tuo bian hu ren	5
委托送达	wei tuo song da	10
威廉姆斯法	wei lian mu si fa	7
威斯敏斯特法案	wei si min si te fa an	8
威斯特伐利亚公会	wei si te fa li ya gong hui	3
娱乐场所治安管理办法	yu le chang suo zhi an guan li ban fa	8
娱乐场所管理条例	yu le chang suo guan li tiao li	12
娱乐场所管理条例释义	yu le chang suo guan li tiao li shi yi	2
婚前保健工作规范	hun qian bao jian gong zuo gui fan	8
婚前协议	hun qian xie yi	2
婚前婚后财产	hun qian hun hou cai chan	8
婚前财产	hun qian cai chan	1
婚姻与收养登记	hun yin yu shou yang deng ji	2
婚姻完全破裂	hun yin wan quan po lie	4
婚姻家庭法前沿	hun yin jia ting fa qian yan	2
婚姻家庭法律适用全书	hun yin jia ting fa lv shi yong quan shu	2
婚姻家庭继承法学	hun yin jia ting ji cheng fa xue	6
婚姻法学参考资料	hun yin fa xue can kao zi liao	3
婚姻登记制度	hun yin deng ji zhi du	9
婚姻登记地	hun yin deng ji di	6
婚姻登记工作暂行规范	hun yin deng ji gong zuo zan xing gui fan	8
婚姻登记所	hun yin deng ji suo	10
婚姻登记档案	hun yin deng ji dang an	12
婚姻登记档案管理办法	hun yin deng ji dang an guan li ban fa	9
婚姻纠纷维权必备	hun yin jiu fen wei quan bi bei	5
婚姻继承纠纷	hun yin ji cheng jiu fen	12
媒介暴力	mei jie bao li	6
媒体与司法关系研究	mei ti yu si fa guan xi yan jiu	5
媒体法	mei ti fa	10
媒体法律与市场	mei ti fa lv yu shi chang	3
媒体监督	mei ti jian du	11
媒氏	mei shi	1
嫡长继承制	di zhang ji cheng zhi	3
子产铸刑鼎	zi chan zhu xing ding	5
子女保障信托	zi nv bao zhang xin tuo	2
子女监护权	zi nv jian hu quan	6
子孙违犯教令	zi sun wei fan jiao ling	5
子目注释	zi mu zhu shi	8
孕妇盗窃团	yun fu dao qie tuan	3
存单挂失	cun dan gua shi	8
存款保险法律制度	cun kuan bao xian fa lv zhi du	5
