# 青简领域词库：地名，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
嘉山	jia shan	23
嘉山县	jia shan xian	6
嘉峪关路街道	jia yu guan lu jie dao	6
嘉川路	jia chuan lu	3
嘉年华城堡	jia nian hua cheng bao	3
嘉德园小区	jia de yuan xiao qu	3
嘉排村	jia pai cun	2
嘉泽	jia ze	7
嘉滨路	jia bin lu	8
嘉盛苑	jia sheng yuan	10
嘉盛路	jia sheng lu	2
嘉禾北京城	jia he bei jing cheng	3
嘉禾国际	jia he guo ji	1
嘉禾桥	jia he qiao	3
嘉禾花苑	jia he hua yuan	2
嘉禾苑	jia he yuan	4
嘉禾路	jia he lu	11
嘉绿名苑	jia lv ming yuan	3
嘉绿苑	jia lv yuan	1
嘉绿苑西	jia lv yuan xi	2
嘉节	jia jie	6
嘉荫	jia yin	46
嘉铭园	jia ming yuan	5
嘉陵乡	jia ling xiang	2
嘉陵村	jia ling cun	2
嘉陵江大桥	jia ling jiang da qiao	11
嘉陵道	jia ling dao	3
嘉雨路	jia yu lu	8
嘉顺花园	jia shun hua yuan	2
嘉黎	jia li	30
嘎东镇	ga dong zhen	4
嘎什根乡	ga shi gen xiang	3
嘎呀河	ga ya he	4
嘎嘎胡同	ga ga hu tong	2
嘎塔乡	ga ta xiang	4
嘎措乡	ga cuo xiang	4
嘎木乡	ga mu xiang	3
嘎玛乡	ga ma xiang	2
嘎玛贡桑街道	ga ma gong sang jie dao	2
嘎美乡	ga mei xiang	2
嘎达苏种畜场	ga da su zhong chu chang	3
嘴头镇	zui tou zhen	2
嘶塘	si tang	3
四一九医院	si yi jiu yi yuan	1
四三	si san	8
四三医院	si san yi yuan	2
四丰	si feng	5
四会县	si hui xian	16
四会市	si hui shi	34
四元桥东	si yuan qiao dong	1
四元桥西	si yuan qiao xi	3
四农场	si nong chang	10
四分场	si fen chang	9
四医院	si yi yuan	35
四医院社区	si yi yuan she qu	2
四十七中学	si shi qi zhong xue	1
四十中	si shi zhong	7
四十亩	si shi mu	6
四十八中	si shi ba zhong	3
四十六中学	si shi liu zhong xue	4
四十户乡	si shi hu xiang	4
四十里梁镇	si shi li liang zhen	2
四厂	si chang	47
四号大街五号路口	si hao da jie wu hao lu kou	3
四号桥	si hao qiao	11
四司村	si si cun	2
四各庄村	si ge zhuang cun	3
四合庄	si he zhuang	2
四合新村	si he xin cun	3
四合村委会	si he cun wei hui	4
四合村村委会	si he cun cun wei hui	3
四同	si tong	9
四员厅居委会	si yuan ting ju wei hui	3
四和村	si he cun	1
四喜凉亭	si xi liang ting	3
四圣祠街	si sheng ci jie	4
四圩	si wei	1
四埠	si bu	4
四境	si jing	8
四境社区	si jing she qu	2
四大寨乡	si da zhai xiang	3
四大队	si da dui	20
四女寺	si nv si	2
四季东巷	si ji dong xiang	5
四季屯村	si ji tun cun	4
四季新城	si ji xin cheng	3
四季星座	si ji xing zuo	4
四季美景社区	si ji mei jing she qu	4
四季花城	si ji hua cheng	1
四季阳光	si ji yang guang	2
四季青桥东	si ji qing qiao dong	3
四季青桥北	si ji qing qiao bei	3
四季青桥南	si ji qing qiao nan	1
四季青桥西	si ji qing qiao xi	3
四季青特色街	si ji qing te se jie	2
四季香山小区	si ji xiang shan xiao qu	1
四安	si an	4
四家子	si jia zi	15
四家庄	si jia zhuang	4
四家村	si jia cun	2
四寨镇	si zhai zhen	1
四岔口乡	si cha kou xiang	3
四川中路	si chuan zhong lu	7
四川北路	si chuan bei lu	46
四川北路天潼路	si chuan bei lu tian tong lu	2
四川北路山阴路	si chuan bei lu shan yin lu	2
四川大厦	si chuan da sha	5
四川省达县	si chuan sheng da xian	7
四川路	si chuan lu	41
四川郫县犀浦镇	si chuan pi xian xi pu zhen	2
四平东道	si ping dong dao	3
四平西道	si ping xi dao	3
四平道	si ping dao	2
四庄村	si zhuang cun	2
四得公园	si de gong yuan	3
四总	si zong	5
四惠东站	si hui dong zhan	1
四惠桥	si hui qiao	2
四惠桥西	si hui qiao xi	5
四惠站	si hui zhan	7
四房村	si fang cun	4
四拨子	si bo zi	1
四教	si jiao	38
四新农场	si xin nong chang	4
四方坪	si fang ping	4
四方堰	si fang yan	5
四方塘	si fang tang	6
四方新村	si fang xin cun	7
四方村	si fang cun	1
四方桥西	si fang qiao xi	4
四方溪乡	si fang xi xiang	5
四方石	si fang shi	4
四方碑	si fang bei	4
四方站	si fang zhan	4
四明路	si ming lu	1
四根旗杆	si gen qi gan	3
四棵乡	si ke xiang	3
四池	si chi	6
四洼乡	si wa xiang	4
四海桥	si hai qiao	1
四海花园	si hai hua yuan	6
四海路	si hai lu	1
四清河	si qing he	2
四渡	si du	17
四港	si gang	5
四湾	si wan	9
四潭沟村	si tan gou cun	2
四环胡同	si huan hu tong	4
四甘普乡	si gan pu xiang	2
四甲村	si jia cun	6
四画	si hua	5
四皓乡	si hao xiang	2
四眼井	si yan jing	13
四眼井胡同	si yan jing hu tong	2
四知	si zhi	11
四福巷	si fu xiang	1
四窝铺村	si wo pu cun	2
四经路	si jing lu	4
四美	si mei	9
四美塘	si mei tang	8
四联村	si lian cun	2
四街坊	si jie fang	6
四褐山	si he shan	4
四褐山区	si he shan qu	1
四角楼	si jiao lou	12
四路通	si lu tong	3
四达路	si da lu	4
四运司	si yun si	4
四运集团	si yun ji tuan	4
四通市场	si tong shi chang	2
四通桥东	si tong qiao dong	1
四通桥南	si tong qiao nan	1
四通桥西	si tong qiao xi	1
四通达	si tong da	3
四通达乡	si tong da xiang	2
四道口	si dao kou	15
四道口东	si dao kou dong	4
四道口北	si dao kou bei	3
四道口南	si dao kou nan	2
四道桥	si dao qiao	5
四道街	si dao jie	14
四都坪	si du ping	3
四都坪乡	si du ping xiang	4
四都村	si du cun	4
四里庄	si li zhuang	1
四里村	si li cun	6
四里营村	si li ying cun	2
四铺	si pu	13
四间房村	si jian fang cun	5
四青街道	si qing jie dao	2
四面山	si mian shan	18
四顷三村	si qing san cun	2
四马	si ma	7
四马路	si ma lu	14
四黄	si huang	6
四黄村	si huang cun	2
回兴	hui xing	26
回北村	hui bei cun	2
回南家园	hui nan jia yuan	1
回南村	hui nan cun	3
回回营	hui hui ying	15
回坪乡	hui ping xiang	2
回小	hui xiao	9
回收仓库	hui shou cang ku	5
回族镇	hui zu zhen	6
回林乡	hui lin xiang	4
回民中学	hui min zhong xue	11
回民公墓	hui min gong mu	3
回民区交警大队	hui min qu jiao jing da dui	1
回民区政府	hui min qu zheng fu	1
回民小学	hui min xiao xue	17
回民村	hui min cun	2
回民果园	hui min guo yuan	3
回民营	hui min ying	4
回澜阁	hui lan ge	1
回王陵	hui wang ling	5
回龙场乡	hui long chang xiang	3
回龙埔	hui long bu	7
回龙寺	hui long si	10
回龙山	hui long shan	7
回龙村	hui long cun	5
回龙桥	hui long qiao	1
回龙河办事处	hui long he ban shi chu	3
回龙湾村	hui long wan cun	3
回龙观东大街	hui long guan dong da jie	3
回龙观东站	hui long guan dong zhan	4
回龙观北站	hui long guan bei zhan	4
回龙观医院	hui long guan yi yuan	2
回龙观地区	hui long guan di qu	2
回龙观城北市场	hui long guan cheng bei shi chang	6
回龙观小区	hui long guan xiao qu	6
回龙观小区东站	hui long guan xiao qu dong zhan	2
回龙观第二小学	hui long guan di er xiao xue	3
回龙观西大街	hui long guan xi da jie	1
因村镇	yin cun zhen	5
团乐村	tuan le cun	2
团乡村	tuan xiang cun	3
团华村	tuan hua cun	2
团园	tuan yuan	2
团坝乡	tuan ba xiang	2
团坝镇	tuan ba zhen	2
团城山	tuan cheng shan	6
团城山街道	tuan cheng shan jie dao	3
团埠村	tuan bu cun	2
团安村	tuan an cun	5
团山	tuan shan	9
团山子	tuan shan zi	7
团岛	tuan dao	23
团岛湾	tuan dao wan	1
团市委	tuan shi wei	41
团庄村	tuan zhuang cun	4
团柏乡	tuan bai xiang	4
团桂路口	tuan gui lu kou	2
团河农场	tuan he nong chang	1
团河北村	tuan he bei cun	5
团河南村	tuan he nan cun	2
团河村	tuan he cun	3
团河行宫	tuan he xing gong	6
团河路	tuan he lu	3
团河路北口	tuan he lu bei kou	1
团河路口	tuan he lu kou	2
团河路西口	tuan he lu xi kou	2
团泊镇	tuan bo zhen	2
团结东路	tuan jie dong lu	8
团结中路	tuan jie zhong lu	1
团结公交站	tuan jie gong jiao zhan	2
团结南路	tuan jie nan lu	2
团结市场	tuan jie shi chang	3
团结村路	tuan jie cun lu	3
团结湖	tuan jie hu	31
团结湖公园	tuan jie hu gong yuan	1
团结湖北口	tuan jie hu bei kou	4
团结湖路	tuan jie hu lu	6
团结湖路北口	tuan jie hu lu bei kou	3
团结街	tuan jie jie	11
团结西路	tuan jie xi lu	7
团结路	tuan jie lu	26
团结路口	tuan jie lu kou	1
团结路天桥	tuan jie lu tian qiao	3
团结路派出所	tuan jie lu pai chu suo	8
团风	tuan feng	23
团黄公路	tuan huang gong lu	3
团龙	tuan long	7
园丁公寓	yuan ding gong yu	2
园丁小区	yuan ding xiao qu	8
园丁新村	yuan ding xin cun	4
园东花园	yuan dong hua yuan	1
园中花园	yuan zhong hua yuan	4
园中苑	yuan zhong yuan	3
园中路	yuan zhong lu	10
园北	yuan bei	10
园区总站	yuan qu zong zhan	3
园南三村	yuan nan san cun	2
园南新村	yuan nan xin cun	3
园坂村	yuan ban cun	1
园墩	yuan dun	2
园子岔乡	yuan zi cha xiang	4
园宏胡同	yuan hong hu tong	2
园山	yuan shan	39
园山东	yuan shan dong	2
园山仔	yuan shan zai	2
园岭	yuan ling	7
园岭东路	yuan ling dong lu	4
园岭中路	yuan ling zhong lu	4
园岭仔	yuan ling zai	3
园岭市场	yuan ling shi chang	2
园岭林场	yuan ling lin chang	3
园岭西路	yuan ling xi lu	4
园底	yuan di	3
园明新园	yuan ming xin yuan	1
园景胡同	yuan jing hu tong	3
园林场	yuan lin chang	2
园林基地	yuan lin ji di	6
园林处苗圃	yuan lin chu miao pu	2
园林大酒店	yuan lin da jiu dian	3
园林村	yuan lin cun	7
园林西	yuan lin xi	4
园林路	yuan lin lu	25
园林路南	yuan lin lu nan	2
园田队	yuan tian dui	2
园美	yuan mei	5
园美村	yuan mei cun	3
园艺厂	yuan yi chang	3
园艺村	yuan yi cun	1
园艺研究所	yuan yi yan jiu suo	1
园艺路	yuan yi lu	5
园荫道	yuan yin dao	2
园长江	yuan chang jiang	4
围仔	wei zai	15
围内	wei nei	37
围垦指挥部	wei ken zhi hui bu	5
围堤道	wei di dao	4
围墙巷	wei qiang xiang	6
围头村	wei tou cun	4
围子里	wei zi li	1
围寨	wei zhai	5
围田	wei tian	3
围肚	wei du	4
围里	wei li	8
固义	gu yi	5
固原县	gu yuan xian	28
固县乡	gu xian xiang	3
固安工业园区	gu an gong ye yuan qu	6
固安汽车站	gu an qi che zhan	3
固贤乡	gu xian xiang	2
固阳	gu yang	38
固院村	gu yuan cun	2
国京路	guo jing lu	3
国付	guo fu	3
国信嘉园	guo xin jia yuan	5
国光路	guo guang lu	44
国兴胡同	guo xing hu tong	2
国兴路	guo xing lu	4
国内旅客列车	guo nei lv ke lie che	3
国华纪念中学	guo hua ji nian zhong xue	7
国合公司	guo he gong si	4
国和一村	guo he yi cun	3
国和新村	guo he xin cun	2
国和路	guo he lu	1
国土资源局	guo tu zi yuan ju	34
国太桥乡	guo tai qiao xiang	4
国威路	guo wei lu	6
国学巷	guo xue xiang	1
国学胡同	guo xue hu tong	3
国定路	guo ding lu	15
国家体育总局社区	guo jia ti yu zong ju she qu	3
国家体育馆	guo jia ti yu guan	19
国家工商总局	guo jia gong shang zong ju	23
国家沟	guo jia gou	4
国家高级教育行政学院	guo jia gao ji jiao yu xing zheng xue yuan	4
国寿大厦	guo shou da sha	1
国展中心	guo zhan zhong xin	6
国庆新村	guo qing xin cun	5
国庆路	guo qing lu	13
国强路	guo qiang lu	6
国投电厂	guo tou dian chang	3
国旺社区	guo wang she qu	2
国旺胡同	guo wang hu tong	4
国有林场管理局	guo you lin chang guan li ju	5
国权北路	guo quan bei lu	4
国权路	guo quan lu	2
国林宾馆	guo lin bin guan	3
国棉一厂	guo mian yi chang	2
国棉七厂	guo mian qi chang	2
国棉三厂	guo mian san chang	3
国棉二厂	guo mian er chang	7
国棉五六厂	guo mian wu liu chang	2
国棉五厂	guo mian wu chang	5
国棉六厂	guo mian liu chang	14
国棉十七厂	guo mian shi qi chang	4
国棉四厂	guo mian si chang	4
国泰商场	guo tai shang chang	5
国泰大酒店	guo tai da jiu dian	4
国泰花园	guo tai hua yuan	2
国泰路	guo tai lu	22
国盛道	guo sheng dao	2
国祥胡同	guo xiang hu tong	4
国美第一城小区	guo mei di yi cheng xiao qu	5
国胜	guo sheng	22
国茂大酒店	guo mao da jiu dian	3
国营三江农场	guo ying san jiang nong chang	3
国营东兴农场	guo ying dong xing nong chang	4
国营东升农场	guo ying dong sheng nong chang	2
国营东和农场	guo ying dong he nong chang	4
国营东太农场	guo ying dong tai nong chang	3
国营东平农场	guo ying dong ping nong chang	2
国营东方红农场	guo ying dong fang hong nong chang	2
国营东昌农场	guo ying dong chang nong chang	3
国营东红农场	guo ying dong hong nong chang	4
国营东路农场	guo ying dong lu nong chang	2
国营中坤农场	guo ying zhong kun nong chang	4
国营中建农场	guo ying zhong jian nong chang	3
国营中瑞农场	guo ying zhong rui nong chang	3
国营乌石农场	guo ying wu shi nong chang	1
国营乐光农场	guo ying le guang nong chang	3
国营保国农场	guo ying bao guo nong chang	3
国营八一农场	guo ying ba yi nong chang	1
国营公爱农场	guo ying gong ai nong chang	2
国营农牧场	guo ying nong mu chang	1
国营加钗农场	guo ying jia chai nong chang	3
国营南俸农场	guo ying nan feng nong chang	3
国营南吕农场	guo ying nan lv nong chang	2
国营南岛农场	guo ying nan dao nong chang	3
国营南平农场	guo ying nan ping nong chang	1
国营南新农场	guo ying nan xin nong chang	3
国营南林农场	guo ying nan lin nong chang	2
国营南滨农场	guo ying nan bin nong chang	3
国营南田农场	guo ying nan tian nong chang	3
国营南阳农场	guo ying nan yang nong chang	2
国营大岭农场	guo ying da ling nong chang	2
国营太平农场	guo ying tai ping nong chang	3
国营山荣农场	guo ying shan rong nong chang	3
国营岭门农场	guo ying ling men nong chang	3
国营广坝农场	guo ying guang ba nong chang	3
国营敦煌农场	guo ying dun huang nong chang	3
国营新中农场	guo ying xin zhong nong chang	4
国营新洋农场	guo ying xin yang nong chang	2
国营新盈农场	guo ying xin ying nong chang	3
国营林场	guo ying lin chang	16
国营桂林洋农场	guo ying gui lin yang nong chang	4
国营浩特陶海牧场	guo ying hao te tao hai mu chang	2
国营牧场	guo ying mu chang	6
国营畅好农场	guo ying chang hao nong chang	3
国营红光农场	guo ying hong guang nong chang	4
国营红华农场	guo ying hong hua nong chang	4
国营红岗农场	guo ying hong gang nong chang	2
国营红岭农场	guo ying hong ling nong chang	2
国营红林农场	guo ying hong lin nong chang	3
国营罗豆农场	guo ying luo dou nong chang	3
国营芙蓉田农场	guo ying fu rong tian nong chang	2
国营蓝洋农场	guo ying lan yang nong chang	3
国营西培农场	guo ying xi pei nong chang	3
国营西庆农场	guo ying xi qing nong chang	3
国营西流农场	guo ying xi liu nong chang	2
国营西联农场	guo ying xi lian nong chang	4
国营西达农场	guo ying xi da nong chang	2
国营邦溪农场	guo ying bang xi nong chang	3
国营金安农场	guo ying jin an nong chang	2
国营长征农场	guo ying chang zheng nong chang	3
国营阳江农场	guo ying yang jiang nong chang	4
国营马场	guo ying ma chang	4
国营龙山农场	guo ying long shan nong chang	3
国货路	guo huo lu	9
国贸中心	guo mao zhong xin	7
国贸大厦	guo mao da sha	7
国贸宾馆	guo mao bin guan	5
国通大厦	guo tong da sha	4
国通物流城	guo tong wu liu cheng	6
国道路口	guo dao lu kou	1
国都公寓	guo du gong yu	5
国防公路	guo fang gong lu	2
国防大厦	guo fang da sha	1
国防教育中心	guo fang jiao yu zhong xin	6
国防路	guo fang lu	7
国际企业中心	guo ji qi ye zhong xin	4
国际商业城	guo ji shang ye cheng	6
国际商学院	guo ji shang xue yuan	29
国际大酒店	guo ji da jiu dian	25
国际学术交流中心	guo ji xue shu jiao liu zhong xin	1
国际家	guo ji jia	8
国际展览中心	guo ji zhan lan zhong xin	42
国际经贸园区	guo ji jing mao yuan qu	3
国际网球中心	guo ji wang qiu zhong xin	12
国际航空港	guo ji hang kong gang	1
国际花园	guo ji hua yuan	16
国际饭店西门	guo ji fan dian xi men	2
国顺东路	guo shun dong lu	2
国顺路	guo shun lu	6
图们市	tu men shi	6
图布信苏木	tu bu xin su mu	3
图木舒克市	tu mu shu ke shi	16
图木舒克市区	tu mu shu ke shi qu	3
图木舒克市永安坝	tu mu shu ke shi yong an ba	1
图牧吉镇	tu mu ji zhen	3
图美	tu mei	6
图门路	tu men lu	1
圆墩	yuan dun	11
圆德	yuan de	4
圆恩寺社区	yuan en si she qu	4
圆明园东路	yuan ming yuan dong lu	5
圆明园东门	yuan ming yuan dong men	1
圆明园公园	yuan ming yuan gong yuan	7
圆明园南门	yuan ming yuan nan men	6
圆明山庄	yuan ming shan zhuang	3
圆明新园	yuan ming xin yuan	11
圆梦园	yuan meng yuan	1
圆梦花园	yuan meng hua yuan	3
圆清路北口	yuan qing lu bei kou	2
圆潭	yuan tan	11
圆通庵	yuan tong an	3
圈刘村	quan liu cun	2
圉镇镇	yu zhen zhen	1
土井村西口	tu jing cun xi kou	3
土儿胡同	tu er hu tong	1
土古洞村	tu gu dong cun	2
土园	tu yuan	2
土地前	tu di qian	1
土地后	tu di hou	33
土地围	tu di wei	1
土地坡	tu di po	4
土地岭	tu di ling	6
土地梁	tu di liang	2
土场	tu chang	13
土坑村	tu keng cun	1
土坝子	tu ba zi	2
土坝孜	tu ba zi	2
土坝孜街道	tu ba zi jie dao	3
土型	tu xing	3
土型村	tu xing cun	1
土城头	tu cheng tou	8
土城子	tu cheng zi	36
土城子村	tu cheng zi cun	1
土城子满族朝鲜族乡	tu cheng zi man zu chao xian zu xiang	2
土城子街道	tu cheng zi jie dao	3
土城市	tu cheng shi	6
土堤村	tu di cun	3
土山村	tu shan cun	3
土岭	tu ling	5
土布加乡	tu bu jia xiang	4
土庄	tu zhuang	3
土庙子村	tu miao zi cun	2
土桥新村	tu qiao xin cun	3
土沟	tu gou	9
土沟乡	tu gou xiang	2
土洋村	tu yang cun	5
土湾	tu wan	1
土特产品市场	tu te chan pin shi chang	4
土直	tu zhi	2
土羊	tu yang	5
土老肥	tu lao fei	3
土贵乌拉乡	tu gui wu la xiang	2
土遁	tu dun	19
土门关乡	tu men guan xiang	4
土门商厦	tu men shang sha	4
土门大桥	tu men da qiao	2
土门新市场	tu men xin shi chang	5
土龙山镇	tu long shan zhen	1
土龙路口	tu long lu kou	6
圣劳拉	sheng lao la	1
圣基尔达岛	sheng ji er da dao	1
圣墓	sheng mu	44
圣寿寺	sheng shou si	6
圣水南大街	sheng shui nan da jie	2
圣水峪乡	sheng shui yu xiang	3
圣淘沙花城	sheng tao sha hua cheng	2
圣湖	sheng hu	41
圣湖社区	sheng hu she qu	3
圣灯	sheng deng	10
圣芭芭拉	sheng ba ba la	16
圣贤道	sheng xian dao	1
圣音寺	sheng yin si	2
在坳	zai ao	4
在城镇	zai cheng zhen	14
圩仔	wei zi	4
圩塘	wei tang	4
圩墩新村	wei dun xin cun	2
圪垱店乡	ge dang dian xiang	1
圪塔头村	ge ta tou cun	1
圪塔村	ge ta cun	4
圪达上乡	ge da shang xiang	2
圭塘	gui tang	4
圭塘路	gui tang lu	7
地主爷	di zhu ye	5
地兴居	di xing ju	3
地区一农场	di qu yi nong chang	3
地区实验林场	di qu shi yan lin chang	5
地区种牛场	di qu zhong niu chang	3
地坛东门	di tan dong men	5
地坛西门	di tan xi men	7
地坪	di ping	32
地州乡	di zhou xiang	3
地巫乡	di wu xiang	2
地毯厂	di tan chang	4
地毯厂路	di tan chang lu	3
地洛乡	di luo xiang	3
地湖	di hu	3
地王大厦	di wang da sha	10
地税局	di shui ju	20
地窝堡	di wo pu	28
地纬路	di wei lu	2
地莫乡	di mo xiang	3
地藏庵	di zang an	33
地调处	di diao chu	2
地质大队	di zhi da dui	17
地质宫	di zhi gong	14
地质社区	di zhi she qu	5
地质队	di zhi dui	16
地铁八宝山站	di tie ba bao shan zhan	7
地铁苹果园站	di tie ping guo yuan zhan	6
地铁莘庄站	di tie xin zhuang zhan	3
圳上村	zhen shang cun	2
圳下	zhen xia	1
圳下村	zhen xia cun	2
场东	chang dong	6
场中路	chang zhong lu	11
场坝镇	chang ba zhen	3
场联路	chang lian lu	2
场西	chang xi	7
场部	chang bu	10
坂中	ban zhong	7
坂仔	ban zi	1
坂头	ban tou	1
坂头村	ban tou cun	4
坂头社区	ban tou she qu	3
坂田工业区	ban tian gong ye qu	3
坂田村	ban tian cun	1
坂田村委	ban tian cun wei	3
坂田汽车站	ban tian qi che zhan	5
均利广场	jun li guang chang	4
均县	jun xian	6
均安中学	jun an zhong xue	4
均安交通中心	jun an jiao tong zhong xin	7
均安医院	jun an yi yuan	5
均安牛仔	jun an niu zi	6
均安镇政府	jun an zhen zheng fu	5
均昌	jun chang	2
坊上	fang shang	15
坊前	fang qian	5
坊前村	fang qian cun	1
坊城	fang cheng	10
坊安	fang an	2
坊安街道	fang an jie dao	2
坊脚	fang jiao	3
坊脚村	fang jiao cun	2
坎头	kan tou	3
坎尔孜乡	kan er zi xiang	4
坎布里奇	kan bu li qi	6
坎底	kan di	9
坎苏乡	kan su xiang	5
坎西	kan xi	34
坑下	keng xia	8
坑东村	keng dong cun	3
坑仔	keng zai	27
坑仔口	keng zai kou	2
坑仔尾	keng zai wei	2
坑仔底	keng zai di	3
坑仔底村	keng zai di cun	2
坑内村	keng nei cun	3
坑南	keng nan	4
坑南村	keng nan cun	3
坑口村	keng kou cun	17
坑园	keng yuan	1
坑头	keng tou	14
坑头村	keng tou cun	9
坑头社区	keng tou she qu	2
坑尾	keng wei	6
坑尾村	keng wei cun	11
坑梓镇	keng zi zhen	1
坑背	keng bei	4
坑螺	keng luo	2
坑角	keng jiao	3
坑边村	keng bian cun	1
坑黄	keng huang	2
坚木克尔街道	jian mu ke er jie dao	2
坛下乡	tan xia xiang	4
坛山	tan shan	5
