# 由 qingjian-gloss-gen 生成（LLM）。词	[词性. ]译词	[词性. ]译词
㕮	v. chew
实用教程	n. practical tutorial
实用新型专利	n. utility model patent
实用新型专利权	n. utility model patent right
实用法律指南	n. practical legal guide
实用法律文书写作	n. practical legal writing
实用法律英语	n. practical legal English
实用的	adj. practical
实用程序	n. utility
实用程序包	n. utility package
实用类	n. practical category
实用网站	n. useful website
实用软件	n. utility software
实甫	n. Shifu
实益	n. actual benefit
实益达	n. Shiyida
实盘	n. real trading
实线	n. solid line
实绩	n. actual achievement
实职	n. substantive post
实股	n. real stock
实至名归	phr. deserved
实行	v. implement
实行国民待遇	v. grant national treatment
实行改制	v. implement restructuring
实行犯过限	phr. exceeding joint crime
实言相告	phr. tell truth
实训	n. practical training
实证	n. evidence	n. proof
实词	n. content word
实诚	adj. honest
实话	n. truth
实话实说	phr. tell the truth
实说	v. tell the truth
实质	n. substance	n. essence
实质上	adv. essentially
实质性改变	n. substantial change
实质性特点	n. substantive feature
实质性金钱损失	n. substantial monetary loss
实足	adj. full
实践	v. practice
实践性行为	n. practical behavior
实践手册	n. practice manual
实践指南	n. practical guide
实践项目	n. practical project
实辉巷	n. Shihui Lane
实锤	n. proof	n. evidence
实际	adj. actual	adj. real
实际上	adv. actually	adv. in fact
实际全损	n. actual total loss
实际公司	n. actual company
实际开发	phr. actual development
实际情况	n. actual situation
实际控制人	n. actual controller
实际案例	n. actual case
实际行动	n. actual action
实际页数	n. actual pages
实验	n. experiment	n. test
实验中学	n. Experimental Middle School
实验动物房	n. animal facility
实验学校	n. experimental school
实验室	n. laboratory
实验室与设备处	n. Laboratory and Equipment Division
实验室检查	n. laboratory test
实验室生物安全	n. laboratory biosafety
实验小学	n. experimental primary school
实验心理学	n. experimental psychology
实验性	n. experimental nature
实验报告	n. lab report
实验核医学	n. experimental nuclear medicine
实验楼	n. laboratory building
实验的	adj. experimental
实验社会心理学	n. experimental social psychology
实验站	n. experiment station
实验组	n. experimental group
实验设计	n. experimental design
实验诊断学	n. laboratory diagnostics
宠	v. spoil	v. favor
宠你	v. spoil you
宠信	v. favor
宠儿	n. favorite	n. darling
宠坏	v. spoil
宠幸	v. favor
宠我	v. spoil me
宠溺	v. spoil	v. dote on
宠爱	v. dote on
宠物	n. pet
宠物健康护理员	n. pet health caregiver
宠物公墓	n. pet cemetery
宠物店	n. pet shop
宠物殡仪馆	n. pet funeral home
宠物消费品	n. pet products
宠物狗	n. pet dog
宠物研究数据中心	n. Pet Research Data Center
宠物营养师	n. pet nutritionist
宠物饰品	n. pet accessories
宠用	adj. pet-use
宠着	v. spoil	v. pamper
宠辱忧欢不到情	phr. beyond favor and disgrace
宠辱皆忘	phr. forget favor and disgrace
审	v. examine	v. review
审判	v. judge	v. trial
审判公正问题研究	n. study on judicial fairness
审判前沿观察	n. frontline trial observation
审判员	n. judge
审判案例研究	n. case study
审判监督	n. trial supervision
审判监督制度	n. trial supervision system
审判监督指导	n. trial supervision guidance
审判监督程序	n. trial supervision procedure
审判程序合法	phr. legal procedure
审判长	n. chief judge
审前羁押与保释	n. pretrial detention and bail
审处	v. try and punish
审定	v. examine and approve
审容膝之易安	phr. content with humble abode
审察	v. examine
审度	v. consider	v. judge
审录司	n. Review and Recording Department
审慎	adj. prudent
审批	v. approve	v. examine
审改	v. review and revise
审权势之宜	phr. weigh power and advantage
审查	v. review	v. censor
审查公诉	v. review and prosecute
审查判断证据	phr. examine and evaluate evidence
审查案件	phr. review a case
审校	v. review and proofread
审核	v. review	v. audit
审核委托方	n. audit client
审核指南	n. audit guide
审核被拒	phr. review rejected
审理	v. hear	v. try
审看	v. review
审稿	v. review manuscript
审章塘瑶族乡	n. Shenzhangtang Yao Township
审结	v. conclude trial
审美	n. aesthetics
审美观	n. aesthetic sense
审裁小组	n. adjudication panel
审视	v. examine	v. scrutinize
审计	n. audit
审计合谋	n. audit collusion
审计委员会制度	n. audit committee system
审计局	n. audit bureau
审计师	n. auditor
审计意见	n. audit opinion
审计报告	n. audit report
审计案例	n. audit case
审计案例分析	n. audit case analysis
审计法律规范	n. audit legal norms
审计结果	n. audit result
审计规范体系	n. audit standard system
审计调查项目	n. audit investigation project
审计跟踪	n. audit trail
审订	v. revise
审议	v. deliberate	v. review
审议通过	v. approve
审讯	v. interrogate
审讯心理学	n. interrogation psychology
审评	v. review
审读	v. review
审配	n. Shen Pei
审问	v. interrogate
审阅	v. review	v. examine
审题	v. examine the question
客	n. guest
客串	v. guest star
客串演出	phr. guest appearance
客人	n. guest
客从远方来	phr. guest from afar
客从长安来	phr. guest comes from Chang'an
客位	n. guest seat
客体	n. object
客厅	n. living room
客商	n. traveling merchant
客场	n. away game
客堂	n. guest hall
客头	n. head of guests
客套	n. polite remarks
客套话	n. polite remarks
客子光阴诗卷里	phr. traveler's time in poetry
客官	n. guest
客家	n. Hakka
客家人	n. Hakka
客家方言	n. Hakka dialect
客家茶果	n. Hakka tea snack
客家话	n. Hakka dialect
客家酿豆腐	n. Hakka stuffed tofu
客居	v. sojourn
客店	n. inn
客座	adj. guest
客座教授	n. visiting professor
客怀依旧不能平	phr. guest's heart still uneasy
客户	n. client	n. customer
客户体验	n. customer experience
客户化	v. customize
客户地址	n. customer address
客户服务	n. customer service
客户端	n. client
客户端开发	n. client development
客户端服务器	n. client-server
客户端测试	n. client testing
客户端程序	n. client program
客房	n. guest room
客服	n. customer service
客服电话	n. customer service phone
客机	n. passenger plane
客村	n. Kecun
客来茶罢空无有	phr. no tea for guests
客栈	n. inn
客楼	n. guesthouse
客死	v. die abroad
客气	adj. polite	adj. courteous
客气了	phr. you're welcome
客流	n. passenger flow
客流量	n. passenger flow
客源	n. customer source
客满	v. full house	v. sold out
客票	n. passenger ticket
客籍	n. non-native resident
客舍	n. inn
客舱	n. cabin
客船	n. passenger ship
客行悲故乡	phr. traveler grieves for hometown
客观	adj. objective
客观上	adv. objectively
客观世界	n. objective world
客观归罪	n. objective imputation
客观性	n. objectivity
客观标准	n. objective standard
客观标志原则	n. objective indication principle
客观的	adj. objective
客车	n. bus
客轮	n. passenger ship
客运	n. passenger transport
客运专线	n. passenger line
客运东站	n. east bus station
客运中心	n. passenger transport center
客运中心站	n. passenger transport center
客运总站	n. main bus station
客运段	n. passenger section
客运码头	n. passenger terminal
客运站	n. bus station
客运西站	n. west bus station
客运量	n. passenger volume
客里空	n. Krokodil
客量	n. customer volume
客队	n. visiting team
客随主便	phr. guest follows host
客饭	n. set meal
宣	v. declare
宣传	v. promote
宣传品	n. propaganda material
宣传活动	n. publicity campaign
宣传片	n. promotional video
宣传画	n. propaganda poster
宣传部	n. propaganda department
宣传部长	n. propaganda director
宣传队	n. propaganda team
宣侠父	n. Xuan Xiafu
宣内	n. Xuannei
宣判	v. sentence	v. pronounce
宣判笔录	n. sentencing record
宣化	n. Xuanhua
宣化村	n. Xuanhua Village
宣华华	n. Xuan Huahua
宣告	v. declare	v. pronounce
宣城	n. Xuancheng
宣城县	n. Xuancheng County
宣城地区	n. Xuancheng area
宣城市	n. Xuancheng
宣城蜜枣	n. Xuancheng candied dates
宣城路	n. Xuancheng Road
宣堡小馄饨	n. Xuanbao wonton
宣大高速	n. Xuanda Expressway
宣威县	n. Xuanwei County
宣威土豆	n. Xuanwei potato
宣威市	n. Xuanwei City
宣威洋芋	n. Xuanwei potato
宣威火腿	n. Xuanwei ham
宣宁高速公路	n. Xuancheng-Ningguo Expressway
宣宗	n. Xuanzong
宣室求贤访逐臣	phr. seeking talent
宣家埠一区	n. Xuanjiabu District 1
宣家埠二区	n. Xuanjiabu District 2
宣导	v. advocate
宣州市	n. Xuanzhou City
宣州石砚墨色光	phr. Xuanzhou inkstone shines black
宣布	v. announce	v. declare
宣布与	phr. announce with
宣布取消	phr. announce cancellation
宣布战争状态	v. declare state of war
宣布独立	v. declare independence
宣帝	n. Emperor Xuan
宣平堡乡	n. Xuanpingbao Township
宣德	n. Xuande
宣恒	n. Xuanheng
宣恩	n. Xuan'en
宣慰	v. console
宣慰使	n. pacification commissioner
宣战	v. declare war
宣扬	v. publicize	v. advocate
宣抚	v. pacify
宣教	v. preach
宣明	v. declare
宣昭	v. proclaim
宣武	n. Xuanwu
宣武医院	n. Xuanwu Hospital
宣武市场	n. Xuanwu Market
宣武帝	n. Emperor Xuanwu
宣武门	n. Xuanwumen
宣永光	n. Xuan Yongguang
宣汉	n. Xuanhan
宣河乡	n. Xuanhe Township
宣泄	v. vent	v. release
宣父犹能畏后生	phr. Confucius still respects youth
宣示	v. declare	v. proclaim
宣称	v. claim	v. declare
宣纸	n. rice paper
宣统	n. Xuantong
宣统三	n. Xuantong three
宣统二	n. Xuantong two
宣美	n. Sunmi
宣肺	v. disperse lung
宣肺止嗽合剂	n. Xuanfei Zhisou mixture
宣言	n. declaration
宣言书	n. manifesto
宣誓	v. swear	v. take an oath
宣誓就职	v. swear in
宣讲	v. propagate	v. preach
宣读	v. read out
宣部	n. propaganda department
宣闸	n. Xuanzha
宣颐家园	n. Xuanyi Garden
室	n. room	n. office
室上性心动过速	n. supraventricular tachycardia
室主任	n. department head
室井滋	n. Shigeru Muroi
室内	n. indoor
室内乐	n. chamber music
室内地图开发	n. indoor map development
室内定位	n. indoor positioning
室内的	adj. indoor
室内设计	n. interior design
室友	n. roommate
室外	n. outdoor
室女座	n. Virgo
室带槌腹叶蜂	n. chamber-belted hammer-bellied sawfly
室性心动过速	n. ventricular tachycardia
室性心律失常	n. ventricular arrhythmia
室户厚人面蟹	n. Muroto thick-face crab
室温	n. room temperature
室町	n. Muromachi
室町幕府	n. Muromachi shogunate
室盖	n. chamber cover
室盖垫	n. chamber cover gasket
室管膜瘤	n. ependymoma
室长	n. room chief
室间孔	n. interventricular foramen
室间隔	n. ventricular septum
室间隔穿孔	n. ventricular septal perforation
室间隔缺损	n. ventricular septal defect
室间隔缺损修补术	n. ventricular septal defect repair
室间隔缺损封堵术	n. VSD closure
室间隔膜部	n. membranous septum
宥	v. forgive
宥嘉	n. Yoga
宦	n. eunuch
宦官	n. eunuch
宦海	n. officialdom
宦途	n. official career
宧	n. corner of a house
宪	n. constitution
宪兵	n. military police
宪兵队	n. military police
宪台格例	n. Censorate regulations
宪政	n. constitutional government
宪政古今	n. constitutionalism past and present
宪政哲学问题要论	n. Essentials of Constitutional Philosophy
宪法	n. constitution
宪法修改案	n. constitutional amendment
宪法制定权	n. constituent power
宪法及其相关法	n. Constitution and related laws
宪法变迁论	n. theory of constitutional change
宪法性文件	n. constitutional document
宪法性法律	n. constitutional law
宪法法院	n. constitutional court
宪章	n. charter
宫	n. palace
宫下	n. Miyashita
宫东风	n. Gong Dongfeng
宫中	n. in the palace
宫主	n. palace master
宫保兔肉	n. Kung Pao rabbit
宫保虾球	n. Kung Pao shrimp balls
宫保野兔	n. Kung Pao hare
宫保鸡	n. Kung Pao chicken
宫保鸡丁	n. Kung Pao chicken
宫内	n. in the palace
宫刑	n. castration
宫前路	n. Gongqian Road
宫前道	n. Gongqian Road
宫北大街	n. Gongbei Street
宫南大街	n. Gongnan Street
宫口	n. palace gate
宫口村	n. Gongkou Village
宫古	n. Miyako
宫城	n. Miyagi
宫城县	n. Miyagi Prefecture
宫墙	n. palace wall
宫外孕	n. ectopic pregnancy
宫女	n. palace maid
宫官既拆盘	phr. palace official dismantles plate
宫室	n. palace
宫室尽烧焚	phr. palaces all burned
宫家庄	n. Gongjiazhuang
宫少朋	n. Gong Shaopeng
宫崎	n. Miyazaki
宫崎县	n. Miyazaki Prefecture
宫崎吾朗	n. Goro Miyazaki
宫崎寅藏	n. Miyazaki Torazo
宫崎葵	n. Aoi Miyazaki
宫崎骏	n. Hayao Miyazaki
宫川	n. Miyagawa
宫巷口	n. Gongxiangkou
宫市	n. Miyashi
宫庄	n. Gongzhuang
宫庙	n. temple
宫廷	n. court
宫廷小窝头	n. imperial small corn bun
宫廷小萝葡	n. court little radish
宫廷小黄瓜	n. palace cucumber
宫廷排翅	n. imperial shark fin
宫廷风味糕点	n. imperial pastry
宫急	n. Miyako
宫急行	n. Miyako Express
宫扇	n. palace fan
宫本	n. Miyamoto
宫本武藏	n. Miyamoto Musashi
宫本直毅	n. Naoki Miyamoto
宫村	n. Miyamura
宫殿	n. palace
宫泽佐江	n. Sae Miyazawa
宫泽喜一	n. Kiichi Miyazawa
宫泽理惠	n. Miyazawa Rie
宫灯	n. palace lantern
宫灯鱼丝	n. lantern fish shreds
宫炎平片	n. Gongyanping tablets
宫炎平胶囊	n. Gongyanping capsules
宫瘤清片	n. Gongliuqing tablets
宫站	n. palace station
宫腔	n. uterine cavity
宫腔镜检查	n. hysteroscopy
宫苑	n. palace garden
宫血宁胶囊	n. Gongxuening capsule
宫角	n. uterine horn
宫门口社区	n. Gongmenkou Community
宫闱	n. imperial palace	n. harem
宫阙	n. palace
宫阙万间都做了土	phr. palaces turned to dust
宫颈	n. cervix
宫颈刮片	n. Pap smear
宫颈息肉	n. cervical polyp
宫颈涂片	n. Pap smear
宫颈炎	n. cervicitis
宫颈癌	n. cervical cancer
宫颈肌瘤	n. cervical fibroid
宫饼	n. palace cake
宬	n. archive room
宰	v. slaughter
宰了	v. kill	v. slaughter
宰人	v. cheat customers
宰割	v. oppress
宰客	v. rip off
宰执	n. chief minister
宰杀	v. slaughter
宰牲节	n. Eid al-Adha
宰相	n. prime minister	n. chancellor
宰相庄	n. Zaixiang Village
宰相庄村	n. Zaixiangzhuang Village
宰羊羔肉	phr. slaughter lamb meat
宰羔肉	n. slaughtered lamb meat
害	v. harm	v. damage
害了	v. harmed
害人	v. harm
害人不浅	phr. do great harm
害人虫	n. pest	n. vermin
害你	v. harm you
害处	n. harm
害得	v. cause
害得我	phr. caused me to
害怕	v. fear	v. be afraid
害怕了	phr. got scared
害我	v. hurt me
害死	v. kill
害病	v. fall ill
害眼	v. harm eyes
害羞	adj. shy
害羞了	adj. shy
害群之马	phr. black sheep
害臊	adj. ashamed	adj. shy
害虫	n. pest
害鸟	n. pest bird
宴	n. banquet
宴会	n. banquet	n. party
宴客	v. entertain guests
宴席	n. banquet
宴春酒楼	n. Yanchun Restaurant
宴请	v. entertain at a banquet
宴饮	v. feast
宵	n. night
宵夜	n. late-night snack
宵禁	n. curfew
宵米	n. night rice
宵衣旰食	phr. work diligently
家	n. home	n. family
家丑	n. family scandal
家世	n. family background
家世界	n. Home World
家世界超市	n. Home World supermarket
家业	n. family property
家严	n. my father
家中	n. home
家乐番茄沙司	n. Knorr ketchup
家乐福	n. Carrefour
家乐鲜露	n. Knorr seasoning
家乐鸡粉	n. Knorr chicken powder
家乐鸡精	n. Knorr chicken essence
家乡	n. hometown
家乡亲	n. hometown relatives
家乡南肉	n. hometown southern pork
家乡碌鹅	n. home-style goose
家乡肉	n. hometown meat
家乡莲藕饼	n. hometown lotus root cake
家书	n. letter from home
家事	n. housework
家事代理权	n. marital agency
家产	n. family property
家人	n. family
家人父子	n. family members
家人竞喜开妆镜	phr. family joyfully opens mirror
家什	n. furniture
家伙	n. guy
家传	n. family tradition
家住	phr. live at
家信	n. letter from home
家俱城	n. furniture city
家兄	n. my elder brother
家兔	n. rabbit
家具	n. furniture
家具定作合同	n. furniture contract
家具市场	n. furniture market
家养	adj. domestic	adj. tame
家务	n. housework	n. chores
家口	n. family
家史	n. family history
家和	n. family harmony
家喻户晓	phr. known to all
家园	n. homeland
