# 由 qingjian-gloss-gen english 生成（LLM）：英文词的中文释义。词（小写）	[词性. ]释义	[词性. ]释义
a	一
doughnut	n. 甜甜圈
doughnuts	n. 甜甜圈
doughty	adj. 勇敢的
douglas	n. 道格拉斯
douglass	n. 道格拉斯
dour	adj. 阴郁的
douse	v. 浇灭
doused	v. 浇水	v. 熄灭
dove	n. 鸽子
dover	n. 多佛
doves	n. 鸽子
dow	n. 道琼斯
dowager	n. 贵寡妇
down	adv. 向下
downbeat	n. 强拍
downcase	v. 转小写
downcased	adj. 小写的
downcases	v. 转小写
downcasing	v. 转小写
downed	v. 击落
downer	n. 镇静剂	n. 令人沮丧的事
downers	n. 镇静剂	n. 令人沮丧的事
downfall	n. 垮台	n. 衰落
downfield	adv. 向对方半场
downgrade	v. 降级
downgraded	v. 降级
downgrading	v. 降级
downhill	adv. 下坡
downing	v. 击落
downlevel	v. 降级
download	v. 下载
downloadable	adj. 可下载的
downloaded	v. 下载
downloader	n. 下载器
downloadfile	n. 下载文件
downloadfolder	n. 下载文件夹
downloadid	n. 下载ID
downloading	n. 下载
downloads	n. 下载
downplay	v. 淡化	v. 贬低
downplayed	v. 淡化
downplaying	v. 淡化
downpour	n. 倾盆大雨
downright	adv. 彻底地
downs	n. 丘陵
downsample	v. 降采样
downsampled	v. 降采样
downsampling	n. 降采样
downside	n. 缺点	n. 不利方面
downsides	n. 缺点	n. 不利方面
downsize	v. 裁员
downsized	adj. 精简的	adj. 裁员后的
downsizing	n. 裁员
downstairs	adv. 楼下
downstream	adv. 下游
downtime	n. 停机时间
downtown	n. 市中心
downtrodden	adj. 受压迫的
downturn	n. 衰退
downward	adv. 向下
downwards	adv. 向下
downwind	adv. 顺风
downy	adj. 绒毛的
dowry	n. 嫁妆
dox	v. 人肉搜索
doxing	n. 人肉搜索
doxygen	n. Doxygen
doyle	n. 多伊尔
doze	v. 打瞌睡
dozed	v. 打瞌睡
dozen	n. 一打
dozens	n. 几十
dozier	n. 多齐尔
dozing	v. 打盹
dp	n. 数据处理器
dpad	n. 方向键
dpdk	n. DPDK
dpi	n. 每英寸点数
dprint	v. 调试打印
dr	n. 博士
drab	adj. 单调的
draco	n. 德拉科
draconian	adj. 严苛的
dracula	n. 德古拉
draft	n. 草稿	n. 草案
drafted	v. 起草
drafting	n. 起草
drafts	n. 草稿	n. 汇票
draftsman	n. 绘图员
drag	v. 拖拽
dragged	v. 拖
dragging	v. 拖拽
dragon	n. 龙
dragonflies	n. 蜻蜓
dragonfly	n. 蜻蜓
dragonflybsd	n. 蜻蜓BSD
dragons	n. 龙
dragoon	n. 龙骑兵
dragoons	n. 龙骑兵
drags	v. 拖
drain	v. 排水
drainage	n. 排水
drained	adj. 耗尽的
draining	adj. 排水
drains	v. 排水
drake	n. 公鸭
drakes	n. 公鸭
dram	n. 打兰
drama	n. 戏剧
dramas	n. 戏剧
dramatic	adj. 戏剧性
dramatically	adv. 戏剧性地	adv. 显著地
dramatist	n. 剧作家
dramatists	n. 剧作家
dramatized	v. 戏剧化
drank	v. 喝
drape	v. 披	v. 悬挂
draped	v. 披着
draper	n. 布商
drapery	n. 窗帘	n. 布料
drapes	n. 窗帘
drastic	adj. 激烈的
drastically	adv. 急剧地
draught	n. 气流
draughts	n. 国际跳棋
draw	v. 画	v. 拉
drawback	n. 缺点
drawbacks	n. 缺点
drawbridge	n. 吊桥
drawdown	n. 提取	n. 下降
drawer	n. 抽屉
drawers	n. 抽屉
drawing	n. 绘画	n. 图画
drawings	n. 图画
drawn	v. 画	v. 拉
draws	v. 画	v. 拉
drawstring	n. 拉绳
drbd	n. DRBD
dread	v. 恐惧
dreaded	adj. 可怕的	adj. 令人畏惧的
dreadful	adj. 可怕的
dreadfully	adv. 可怕地
dreading	v. 害怕
dreadlocks	n. 脏辫
dreadnought	n. 无畏舰
dreads	v. 恐惧
dream	n. 梦想	n. 梦
dreamed	v. 梦想
dreamer	n. 梦想家	n. 空想家
dreamers	n. 梦想家
dreaming	v. 做梦
dreamland	n. 梦境
dreamlike	adj. 梦幻般的
dreams	n. 梦想
dreamy	adj. 梦幻的
dreary	adj. 沉闷的
dredge	v. 疏浚
dredged	v. 疏浚
dredging	n. 疏浚	n. 挖泥
dregs	n. 渣滓	n. 残渣
drenched	adj. 湿透的
dresden	n. 德累斯顿
dress	n. 连衣裙
dressage	n. 盛装舞步
dressed	adj. 穿着
dresser	n. 梳妆台
dressers	n. 梳妆台
dresses	n. 连衣裙
dressing	n. 调味汁	n. 穿衣
dressings	n. 调味品
drew	v. 画
dreyfus	n. 德雷福斯
dribble	v. 运球	v. 滴下
dribbles	v. 运球
dribbling	n. 运球
dried	adj. 干的
drier	n. 干燥机
dries	v. 变干
driest	adj. 最干的
drift	n. 漂流	n. 漂移
drifted	v. 漂流
drifter	n. 流浪者
drifters	n. 流浪者
drifting	v. 漂流
drifts	n. 漂流
driftwood	n. 浮木
drill	n. 钻头	n. 训练
drilled	v. 钻孔
drillers	n. 钻工
drilling	n. 钻孔
drills	n. 钻头
drink	v. 喝
drinkable	adj. 可饮用的
drinker	n. 饮酒者
drinkers	n. 饮酒者
drinking	v. 喝
drinks	n. 饮料
drip	v. 滴
dripped	v. 滴下
dripping	v. 滴下
drips	n. 滴液
drive	v. 驾驶	v. 开车
driveinfo	n. 驱动器信息
drivel	n. 胡言乱语
driven	adj. 驱动的
drivename	n. 驱动器名
driver	n. 司机
driverless	adj. 无人驾驶的
drivers	n. 司机
drives	v. 驾驶
drivetrain	n. 传动系统
driveway	n. 车道
driveways	n. 车道
driving	n. 驾驶
drizzle	n. 毛毛雨
drm	n. 数字版权管理
droid	n. 机器人
droids	n. 机器人
droll	adj. 滑稽的
drone	n. 无人机
drones	n. 无人机
droning	n. 嗡嗡声
drool	v. 流口水
drooling	v. 流口水
droop	v. 下垂
drooping	adj. 下垂的
droopy	adj. 下垂的
drop	v. 掉落	v. 下降
dropbox	n. Dropbox
dropdown	n. 下拉菜单
dropdowns	n. 下拉菜单
droplet	n. 小滴
droplets	n. 小滴	n. 飞沫
dropout	n. 辍学者
dropouts	n. 辍学者
droppable	adj. 可拖放
dropped	v. 掉落	v. 下降
dropper	n. 滴管
dropping	v. 下降
droppings	n. 粪便
drops	v. 下降
drought	n. 干旱
droughts	n. 干旱
drove	v. 驾驶
droves	n. 人群
drown	v. 淹死
drowned	v. 淹死
drowning	v. 溺水
drowns	v. 淹死
drowsiness	n. 困倦
drowsy	adj. 困倦的
drudge	n. 苦工
drudgery	n. 苦工	n. 单调乏味的工作
drug	n. 药物
drugged	v. 下药
drugging	v. 用药麻醉
drugs	n. 药物	n. 毒品
drugstore	n. 药店
druid	n. 德鲁伊
druids	n. 德鲁伊
drum	n. 鼓
drummed	v. 敲击
drummer	n. 鼓手
drummers	n. 鼓手
drumming	n. 击鼓
drums	n. 鼓
drunk	adj. 醉的
drunkard	n. 酒鬼
drunken	adj. 醉酒的
drunkenly	adv. 醉醺醺地
drunkenness	n. 醉酒
drunks	n. 醉汉
drupal	n. Drupal
dry	adj. 干的	adj. 干燥的
dryden	n. 德莱顿
dryer	n. 烘干机
dryers	n. 烘干机
drying	v. 干燥
dryness	n. 干燥
drywall	n. 石膏板
dscl	n. dscl
dsize	n. 数据大小
dsnu	n. DSNU
dst	n. 夏令时
dstfile	n. 目标文件
dststream	n. 目标流
dtls	n. 数据报传输层安全
dtor	n. 析构函数
dtors	n. 析构函数们
dual	adj. 双重的
dualism	n. 二元论
duality	n. 二元性
duane	n. 杜安
dub	v. 配音
dubai	n. 迪拜
dubbed	v. 配音
dubbing	n. 配音
dubbo	n. Dubbo
dubious	adj. 可疑的
dublin	n. 都柏林
dubrovnik	n. 杜布罗夫尼克
dubs	v. 配音
dubuque	n. 迪比克
ducats	n. 达克特
duchamp	n. 杜尚
duchess	n. 公爵夫人
duchy	n. 公国
duck	n. 鸭子
ducked	v. 躲避
ducking	v. 躲避
duckling	n. 小鸭子
ducklings	n. 小鸭
ducks	n. 鸭子
ducky	adj. 极好的
duct	n. 管道
ducts	n. 管道
dud	n. 哑弹	n. 废物
dude	n. 家伙
dudes	n. 家伙们
dudley	n. 达德利
duds	n. 衣服
due	adj. 到期的
duel	n. 决斗
dueling	n. 决斗
duels	n. 决斗
dues	n. 会费
duet	n. 二重奏
duets	n. 二重唱
duff	n. 臀部
duffel	n. 粗呢
duffy	n. 达菲
dug	v. 挖
dugout	n. 独木舟
duh	int. 废话
dui	n. 酒后驾驶
duke	n. 公爵
dukes	n. 公爵
dull	adj. 钝的
dulled	v. 变钝
dulles	n. 杜勒斯
duluth	n. 德卢斯
duly	adv. 正式地
dumas	n. 仲马
dumb	adj. 愚蠢的
dumbass	n. 笨蛋
dumbbell	n. 哑铃
dumber	adj. 更笨的
dumbest	adj. 最笨的
dumbfounded	adj. 目瞪口呆的
dumbledore	n. 邓布利多
dumbo	n. 小飞象
dummies	n. 傻瓜
dummy	n. 假人
dump	v. 倾倒	v. 丢弃
dumped	v. 倾倒
dumping	n. 倾销
dumpling	n. 饺子
dumplings	n. 饺子	n. 团子
dumps	n. 垃圾场	n. 倾倒
dumpster	n. 垃圾箱
dumpsters	n. 垃圾箱
dun	adj. 暗褐色的
dunbar	n. 邓巴
duncan	n. 邓肯
dunce	n. 笨蛋
dundee	n. 邓迪
dune	n. 沙丘
dunedin	n. 达尼丁
dunes	n. 沙丘
dung	n. 粪便
dungeon	n. 地牢
dungeons	n. 地牢
dunk	v. 扣篮	v. 浸泡
dunked	v. 扣篮	v. 浸泡
dunking	v. 扣篮
dunkirk	n. 敦刻尔克
dunks	v. 扣篮
dunlap	n. 邓拉普
dunn	n. 邓恩
dunne	n. 邓恩
dunning	n. 催债
dunno	phr. 不知道
duo	n. 二人组
duos	n. 二重奏
dupe	v. 欺骗
duped	v. 欺骗
duper	n. 骗子
duplex	n. 复式公寓
duplicate	v. 复制
duplicated	v. 复制
duplicates	n. 副本
duplicating	v. 复制
duplication	n. 重复
duplicity	n. 欺骗
dupont	n. 杜邦
durability	n. 耐久性
durable	adj. 耐用的
duran	n. 杜兰
durant	n. 杜兰特
durante	n. 杜兰特
duration	n. 持续时间
durations	n. 持续时间
durban	n. 德班
duress	n. 胁迫
durham	n. 达勒姆
durian	n. 榴莲
during	prep. 在...期间
dusk	n. 黄昏
dusky	adj. 昏暗的
dust	n. 灰尘
dustbin	n. 垃圾箱
dusted	v. 除尘
duster	n. 掸子
dustin	n. 达斯汀
dusting	n. 除尘	n. 撒粉
dusty	adj. 满是灰尘的
dutch	adj. 荷兰
dutchman	n. 荷兰人
duties	n. 职责
dutiful	adj. 尽职的
dutifully	adv. 尽职地
duty	n. 职责
duvet	n. 羽绒被
duvian	n. 杜维安
dvalue	n. 数据值
dvd	n. DVD
dvds	n. DVD
dvr	n. 数字录像机
dwarf	n. 矮子
dwarfed	v. 使相形见绌
dwarfs	n. 侏儒	n. 矮星
dwayne	n. 德韦恩
dwell	v. 居住
dweller	n. 居民
dwellers	n. 居民	n. 居住者
dwelling	n. 住宅
dwellings	n. 住宅
dwells	v. 居住	v. 栖身
dwelt	v. 居住
dwi	n. 酒后驾驶
dwight	n. 德怀特
dwindle	v. 减少	v. 缩小
dwindled	v. 减少
dwindling	adj. 减少的
dword	n. 双字
dy	n. 镝
dye	n. 染料
dyed	adj. 染色的
dyeing	n. 染色
dyer	n. 戴尔
dyes	n. 染料
dying	adj. 垂死的
dyke	n. 堤坝
dykes	n. 堤坝
dylan	n. 迪伦
dylib	n. 动态库
dynamic	adj. 动态的
dynamical	adj. 动态的
dynamically	adv. 动态地
dynamics	n. 动力学
dynamism	n. 活力	n. 动态
dynamite	n. 炸药
dynamo	n. 发电机
dynastic	adj. 王朝的
dynasties	n. 王朝
dynasty	n. 王朝
dyno	n. 测功机
dysentery	n. 痢疾
dysfunction	n. 功能障碍
dysfunctional	adj. 功能失调的
dyslexia	n. 阅读障碍
dyslexic	adj. 诵读困难的
dyson	n. 戴森
dysphoria	n. 烦躁不安
dystopia	n. 反乌托邦
dystopian	adj. 反乌托邦的
e	n. E
each	pron. 每个
eager	adj. 渴望的
eagerly	adv. 急切地
eagerness	n. 渴望
eagle	n. 鹰
eagles	n. 鹰
eapi	n. eAPI
ear	n. 耳朵
earbuds	n. 耳塞	n. 入耳式耳机
eared	adj. 有耳的
earhart	n. 埃尔哈特
earl	n. 伯爵
earle	n. 厄尔
earlier	adv. 更早地
earliest	adj. 最早的
earls	n. 伯爵
early	adj. 早的
earmarked	v. 指定	v. 预留
earn	v. 赚
earned	v. 赚得
earner	n. 赚钱者
earners	n. 赚钱者
earnest	adj. 认真的
earnestly	adv. 认真地
earnhardt	n. 厄恩哈特
earning	v. 赚取
earnings	n. 收益
earns	v. 赚取
earp	n. 厄普
earphones	n. 耳机
earpiece	n. 耳机
earplugs	n. 耳塞
earring	n. 耳环
earrings	n. 耳环
ears	n. 耳朵
earshot	n. 听力范围
earth	n. 地球	n. 泥土
earthbound	adj. 世俗的
earthen	adj. 土制的
earthenware	n. 陶器
earthlings	n. 地球人
earthly	adj. 尘世的	adj. 世俗的
earthquake	n. 地震
earthquakes	n. 地震
earths	n. 地球
earthworms	n. 蚯蚓
earthy	adj. 泥土的
ease	n. 容易	n. 轻松
eased	v. 缓解
easel	n. 画架
easement	n. 地役权
eases	v. 缓解
easier	adj. 更容易
easiest	adj. 最容易的
easily	adv. 容易地
easing	v. 缓解
easings	n. 缓动函数
east	n. 东方
eastbound	adj. 东行的
easter	n. 复活节
easterly	adj. 东方的
eastern	adj. 东方的
eastman	n. 伊士曼
eastward	adv. 向东
eastwards	adv. 向东
eastwood	n. 伊斯特伍德
easy	adj. 容易的
easycla	n. EasyCLA
easygoing	adj. 随和的
eat	v. 吃
eaten	v. 吃
eater	n. 食者
eateries	n. 餐馆
eaters	n. 食者
eatery	n. 餐馆
eating	v. 吃
eaton	n. 伊顿
eats	v. 吃
eaves	n. 屋檐
eavesdropping	n. 偷听
ebay	n. eBay
ebb	n. 退潮
eben	n. 埃本
ebert	n. 埃伯特
ebgp	n. 外部BGP
ebola	n. 埃博拉
ebony	n. 乌木
ebook	n. 电子书
ebooks	n. 电子书
ebpf	n. eBPF
ec	n. 欧盟委员会
ecat	n. ECAT
eccentric	adj. 古怪的
eccentricity	n. 古怪
ecclesiastes	n. 传道书
ecclesiastical	adj. 教会的
ecdhe	n. ECDHE
ecg	n. 心电图
echelon	n. 梯队
echelons	n. 梯队
echo	n. 回声
echoed	v. 回响
echoes	v. 回声
echoing	adj. 回响的
eclectic	adj. 折衷的	adj. 兼收并蓄的
eclipse	n. 日食
eclipsed	v. 使黯然失色
eclipses	n. 日食	n. 月食
eclipsing	v. 使黯然失色
ecma	n. ECMA
eco	n. 生态
ecological	adj. 生态
ecologically	adv. 生态上
ecologist	n. 生态学家
ecologists	n. 生态学家
ecology	n. 生态
econometric	adj. 计量经济学的
econometrics	n. 计量经济学
economic	adj. 经济
economical	adj. 经济的
economically	adv. 经济上
economics	n. 经济学
economies	n. 经济
economist	n. 经济学家
economists	n. 经济学家
economy	n. 经济
ecosystem	n. 生态系统
ecosystems	n. 生态系统
ecstasy	n. 狂喜
ecstatic	adj. 狂喜的
ecu	n. 埃居
ecuador	n. 厄瓜多尔
ecuadorian	adj. 厄瓜多尔的
ecumenical	adj. 普世的	adj. 全基督教
eczema	n. 湿疹
ed	n. 埃德
eddie	n. 埃迪
eddy	n. 漩涡
edema	n. 水肿
eden	n. 伊甸园
edgar	n. 埃德加
edge	n. 边缘
edged	adj. 有刃的
edges	n. 边缘
edging	n. 边缘
edgy	adj. 前卫
edible	adj. 可食用的
edibles	n. 可食用物
edict	n. 法令	n. 敕令
edicts	n. 法令
edifice	n. 大厦
edinburgh	n. 爱丁堡
edison	n. 爱迪生
edit	v. 编辑
edited	v. 编辑
edith	n. 伊迪丝
editing	n. 编辑
edition	n. 版本
editions	n. 版本
editor	n. 编辑
editorial	adj. 编辑的
editorials	n. 社论
editors	n. 编辑
edits	n. 编辑
edmond	n. 埃德蒙
edmonton	n. 埃德蒙顿
edmund	n. 埃德蒙
edna	n. 埃德娜
edp	n. 电子数据处理
edt	n. 东部夏令时
eduardo	n. 爱德华多
edubuntu	n. Edubuntu
educate	v. 教育
educated	adj. 受过教育
educates	v. 教育
educating	v. 教育
education	n. 教育
educational	adj. 教育的
educations	n. 教育
educator	n. 教育家
educators	n. 教育者
edward	n. 爱德华
edwardian	adj. 爱德华时代的
edwards	n. 爱德华兹
edwin	n. 埃德温
edwina	n. 埃德温娜
eec	n. 欧洲经济共同体
eeg	n. 脑电图
eek	int. 呀
eel	n. 鳗鱼
eels	n. 鳗鱼
eeprom	n. EEPROM
eerie	adj. 怪异的
eerily	adv. 怪异地
eet	n. 东欧时间
eff	n. 效率
effect	n. 效果
effected	v. 实现	v. 产生
effecting	v. 实现	v. 产生
effective	adj. 有效的
effectively	adv. 有效地
effectiveness	n. 有效性
effects	n. 效果	n. 影响
effeminate	adj. 娘娘腔的
effervescent	adj. 起泡的
efficacious	adj. 有效的
efficacy	n. 功效
efficiencies	n. 效率
efficiency	n. 效率
efficient	adj. 高效
efficiently	adv. 高效地
effie	n. 埃菲
effigies	n. 肖像
effigy	n. 肖像	n. 模拟像
effing	adj. 该死的
effluent	n. 废水
effort	n. 努力
effortless	adj. 轻松的
effortlessly	adv. 轻松地
efforts	n. 努力
efl	n. 英语作为外语
eft	n. 电子转账
ega	n. 增强图形适配器
egalitarian	adj. 平等主义的
egalitarianism	n. 平等主义
egg	n. 蛋
eggplant	n. 茄子
eggs	n. 鸡蛋
ego	n. 自我
egos	n. 自我	n. 自尊
egotistical	adj. 自负的
egregious	adj. 极坏的	adj. 惊人的
egrep	v. egrep
egress	n. 出口
egypt	n. 埃及
egyptian	adj. 埃及的
egyptians	n. 埃及人
eh	int. 嗯
ehrlich	n. 埃利希
eichmann	n. 艾希曼
eiffel	n. 埃菲尔
eigenvalues	n. 特征值
eight	num. 八
eighteen	num. 十八
eighteenth	num. 第十八
eighth	num. 第八
eighties	n. 八十年代
eights	n. 八
eighty	num. 八十
eigrp	n. EIGRP
eileen	n. 艾琳
einstein	n. 爱因斯坦
eisenhower	n. 艾森豪威尔
eisner	n. 艾斯纳
either	conj. 或者
ejaculate	v. 射精	v. 突然说出
ejaculation	n. 射精
eject	v. 弹出	v. 驱逐
ejected	v. 弹出	v. 驱逐
ejecting	v. 弹出
ejection	n. 弹出
eke	v. 勉强维持
ekg	n. 心电图
eks	n. EKS
el	n. 高架铁路
elaborate	adj. 精心制作的
elaborated	v. 详细说明
elaborately	adv. 精心地
elaborates	v. 详述
elaborating	v. 详细说明
elaboration	n. 阐述
elaine	n. 伊莱恩
elam	n. 埃兰
elapsed	v. 流逝
elastic	adj. 有弹性的
elasticity	n. 弹性	n. 灵活性
elated	adj. 兴高采烈的
elation	n. 兴高采烈
elba	n. 厄尔巴
elbe	n. 易北河
elbert	n. 埃尔伯特
elbow	n. 肘
elbows	n. 肘部
elder	n. 长者
elderly	adj. 年长的
elders	n. 长者
eldest	adj. 最年长的
eldon	n. 埃尔登
eleanor	n. 埃莉诺
elect	v. 选举
elected	v. 选举
electing	v. 选举
election	n. 选举
elections	n. 选举
elective	adj. 选修的	adj. 选举的
electives	n. 选修课
elector	n. 选民	n. 选举人
electoral	adj. 选举的
electorate	n. 选民
electorates	n. 选民
electors	n. 选民
electra	n. 伊莱克特拉
electric	adj. 电的
electrical	adj. 电的
electrically	adv. 电气上
electrician	n. 电工
electricians	n. 电工
electricity	n. 电
electrics	n. 电气
electrification	n. 电气化
electrified	adj. 通电的
electrifying	adj. 令人兴奋的
electrochemical	adj. 电化学的
electrocuted	v. 电死
electrocution	n. 电刑	n. 触电死亡
electrode	n. 电极
electrodes	n. 电极
electrolysis	n. 电解
electrolyte	n. 电解质
electrolytes	n. 电解质
electromagnetic	adj. 电磁的
electron	n. 电子
electronic	adj. 电子的
electronica	n. 电子乐
electronically	adv. 电子地
electronics	n. 电子产品
electrons	n. 电子
electrostatic	adj. 静电的
elects	v. 选举
elegance	n. 优雅
elegant	adj. 优雅的
elegantly	adv. 优雅地
elegy	n. 挽歌
element	n. 元素
elemental	adj. 基本的
elementary	adj. 初级的
elements	n. 元素
elena	n. 埃琳娜
elephant	n. 大象
elephants	n. 大象
elevate	v. 提升
elevated	adj. 升高的
elevates	v. 提升
elevating	v. 提升
elevation	n. 海拔
elevations	n. 海拔
elevator	n. 电梯
elevators	n. 电梯
eleven	num. 十一
eleventh	num. 第十一
elf	n. 精灵
elgar	n. 埃尔加
eli	n. 伊莱
elias	n. 伊莱亚斯
elicit	v. 引出	v. 诱出
elicited	v. 引出	v. 诱出
eliciting	v. 引出
elicits	v. 引出
eligibility	n. 资格
eligible	adj. 合格
elijah	n. 以利亚
eliminate	v. 消除
eliminated	v. 消除	v. 淘汰
eliminates	v. 消除
eliminating	v. 消除
elimination	n. 消除
eliminations	n. 淘汰	n. 消除
elinor	n. 埃莉诺
eliot	n. 艾略特
elisa	n. 伊丽莎
elisabeth	n. 伊丽莎白
elise	n. 伊莉斯
elisha	n. 以利沙
elite	n. 精英
elites	n. 精英
elitism	n. 精英主义
elitist	n. 精英主义者
elixir	n. 灵丹妙药
eliza	n. 伊丽莎
elizabeth	n. 伊丽莎白
elizabethan	adj. 伊丽莎白时代的
elk	n. 麋鹿
elkhart	n. 埃尔克哈特
elks	n. 麋鹿
ell	n. L形
ella	n. 埃拉
ellen	n. 艾伦
ellie	n. 艾莉
ellington	n. 埃林顿
elliot	n. 埃利奥特
elliott	n. 埃利奥特
ellipse	n. 椭圆
elliptic	adj. 椭圆的
elliptical	adj. 椭圆的
ellis	n. 埃利斯
ellison	n. 埃里森
elm	n. 榆树
elmer	n. 埃尔默
elmira	n. 埃尔迈拉
elmo	n. 埃尔莫
elms	n. 榆树
eloise	n. 埃洛伊丝
elongate	v. 拉长
elongated	adj. 拉长的	adj. 细长的
elongation	n. 伸长
elope	v. 私奔
eloped	v. 私奔
eloquence	n. 口才
eloquent	adj. 雄辩的
eloquently	adv. 雄辩地	adv. 有说服力地
elsa	n. 艾尔莎
else	adv. 其他
elseif	conj. 否则如果
elsewhere	adv. 别处
elsie	n. 埃尔西
elsif	conj. 否则如果
elton	n. 埃尔顿
elucidate	v. 阐明
elucidated	v. 阐明
elude	v. 躲避
eluded	v. 躲避	v. 使困惑
eludes	v. 躲避
elusive	adj. 难以捉摸的
elves	n. 精灵
elvin	n. 埃尔文
elvira	n. 埃尔维拉
elvis	n. 埃尔维斯
elway	n. 埃尔韦
elwood	n. 埃尔伍德
elysium	n. 极乐世界
em	n. Em
emaciated	adj. 消瘦的
email	n. 电子邮件
emailed	v. 电邮
emailer	n. 邮件程序
emailers	n. 邮件程序
emailing	v. 发邮件
emails	n. 电子邮件
emanate	v. 散发
emanates	v. 散发
emanating	v. 散发
emancipated	v. 解放
emancipation	n. 解放
emanuel	n. 伊曼纽尔
embalming	v. 防腐
embankment	n. 堤岸
embargo	n. 禁运
embark	v. 开始
embarked	v. 开始	v. 上船
embarking	v. 开始
embarks	v. 着手
embarrass	v. 使尴尬
embarrassed	adj. 尴尬的
embarrassing	adj. 尴尬的
embarrassingly	adv. 令人尴尬地
embarrassment	n. 尴尬
embassies	n. 大使馆
embassy	n. 大使馆
embattled	adj. 四面楚歌的
embed	v. 嵌入
embeddable	adj. 可嵌入
embedded	adj. 嵌入的
embedding	n. 嵌入
embellish	v. 装饰	v. 润色
